en,ru,pl,be,uk,bg,cs,ca,es,tr,sl
Nukuʻalofa,Нукуалофа,Nukuʻalofa,Нукуалофа,Нукуалофа,Нукуалофа,Nuku'alofa,Nuku'alofa,Nukualofa,Nuku'alofa,Nukuʻalofa
New Delhi,Нью-Дели,Nowe Delhi,Нью-Дэлі,Нью-Делі,Ню Делхи,Nové Dillí,Nova Delhi,Nueva Delhi,Yeni Delhi,New Delhi
Osaka,Осака,Osaka,Осака,Осака,Осака,Ósaka,Osaka,Osaka,Osaka,Osaka
Oslo,Осло,Oslo,Осла,Осло,Осло,Oslo,Oslo,Oslo,Oslo,Oslo
Palermo,Палермо,Palermo,Палерма,Палермо,Палермо,Palermo,Palerm,Palermo,Palermo,Palermo
Palikir,Паликир,Palikir,Палікір,Палікір,Паликир,Palikir,Palikir,Palikir,Palikir,Palikir
Panama,Панама,Panama,Панама,Панама,Панама,Panama,Panamà,Panamá,Panama,Panama
Paramaribo,Парамарибо,Paramaribo,Парамарыба,Парамарибо,Парамарибо,Paramaribo,Paramaribo,Paramaribo,Paramaribo,Paramaribo
Paris,Париж,Paryż,Парыж,Париж,Париж,Paříž,París,París,Paris,Pariz
Beijing,Пекин,Pekin,Пекін,Пекін,Пекин,Peking,Pequín,Pekín,Pekin,Peking
Perth,Перт,Perth,Перт,Перт,Пърт,Perth,Perth,Perth,Perth,Perth
Phnom Penh,Пномпень,Phnom Penh,Пнампень,Пномпень,Пном Пен,Phnompenh,Phnom Penh,Nom Pen,Punom Pen,Phnom Penh
Poznań,Познань,Poznań,Познань,Познань,Познан,Poznaň,Poznań,Poznan,Poznań,Poznanj
Port Vila,Порт-Вила,Port Vila,Порт-Віла,Порт-Віла,Порт Вила,Port Vila,Port Vila,Port Vila,Port Vila,Port Vila
Port Louis,Порт-Луи,Port Louis,Порт-Луі,Порт-Луї,Порт Луи,Port Louis,Port Louis,Port Louis,Port Louis,Port Louis
Port Moresby,Порт-Морсби,Port Moresby,Порт-Морсбі,Порт-Морсбі,Порт Морсби,Port Moresby,Port Moresby,Puerto Moresby,Port Moresby,Port Moresby
Port of Spain,Порт-оф-Спейн,Port-of-Spain,Порт-оф-Спейн,Порт-оф-Спейн,Порт ъф Спейн,Port of Spain,Port-of-Spain,Puerto España,Port of Spain,Port of Spain
Porto-Novo,Порто-Ново,Porto-Novo,Порта-Нова,Порто-Ново,Порто Ново,Porto Novo,Porto-Novo,Porto Novo,Porto-Novo,Porto-Novo
Prague,Прага,Praga,Прага,Прага,Прага,Praha,Praga,Praga,Prag,Praga
Praia,Прая,Praia,Прая,Прая,Прая,Praia,Praia,Praia,Praia,Praia
Pyongyang,Пхеньян,Pjongjang,Пхеньян,Пхеньян,Пхенян,Pchjongjang,Pyongyang,Pionyang,Pyongyang,Pjongjang
Rabat,Рабат,Rabat,Рабат,Рабат,Рабат,Rabat,Rabat,Rabat,Rabat,Rabat
Yangon,Янгон,Rangun,Янгон,Янгон,Янгон,Rangún,Yangon,Rangún,Yangon,Jangon
Rio de Janeiro,Рио-де-Жанейро,Rio de Janeiro,Рыа-дэ-Жанэйра,Ріо-де-Жанейро,Рио де Жанейро,Rio de Janeiro,Rio de Janeiro,Río de Janeiro,Rio de Janeiro,Rio de Janeiro
Riga,Рига,Ryga,Рыга,Рига,Рига,Riga,Riga,Riga,Riga,Riga
Rome,Рим,Rzym,Рым,Рим,Рим,Řím,Roma,Roma,Roma,Rim
Riyadh,Эр-Рияд,Rijad,Эр-Рыяд,Ер-Ріяд,Рияд,Rijád,Riad,Riad,Riyad,Riad
Reykjavík,Рейкьявик,Reykjavík,Рэйк’явік,Рейк'явік,Рейкявик,Reykjavík,Reykjavík,Reikiavik,Reykjavík,Reykjavik
Ho Chi Minh City,Хошимин,Ho Chi Minh,Хашымін,Хошимін,Хошимин,Ho Či Minovo Město,Ho Chi Minh,Ho Chi Minh,Ho Chi Minh,Hošiminh
San Marino,Сан-Марино,San Marino,Сан-Марына,Сан-Марино,Сан Марино,San Marino,San Marino,San Marino,San Marino,San Marino
São Paulo,Сан-Паулу,São Paulo,Сан-Паўлу,Сан-Паулу,Сао Пауло,São Paulo,São Paulo,São Paulo,São Paulo,São Paulo
San Salvador,Сан-Сальвадор,San Salvador,Сан-Сальвадор,Сан-Сальвадор,Сан Салвадор,San Salvador,San Salvador,San Salvador,San Salvador,San Salvador
San Juan,Сан-Хуан,San Juan,Сан-Хуан,Сан-Хуан,Сан Хуан,San Juan,San Juan,San Juan,San Juan,San Juan
Santiago,Сантьяго,Santiago,Сант’яга,Сантьяго,Сантяго де Чиле,Santiago de Chile,Santiago de Xile,Santiago de Chile,Santiago,Santiago de Chile
Santo Domingo,Санто-Доминго,Santo Domingo,Санта-Дамінга,Санто-Домінго,Санто Доминго,Santo Domingo,Santo Domingo,Santo Domingo,Santo Domingo,Santo Domingo
Sarajevo,Сараево,Sarajewo,Сараева,Сараєво,Сараево,Sarajevo,Sarajevo,Sarajevo,Saraybosna,Sarajevo
Sofia,София,Sofia,Сафія,Софія,София,Sofie,Sofia,Sofía,Sofya,Sofija
Seoul,Сеул,Seul,Сеул,Сеул,Сеул,Soul,Seül,Seúl,Seul,Seul
Skopje,Скопье,Skopje,Скоп’е,Скоп'є,Скопие,Skopje,Skopje,Skopie,Üsküp,Skopje
Stockholm,Стокгольм,Sztokholm,Стакгольм,Стокгольм,Стокхолм,Stockholm,Estocolm,Estocolmo,Stockholm,Stockholm
Istanbul,Стамбул,Stambuł,Стамбул,Стамбул,Истанбул,Istanbul,Istanbul,Estambul,İstanbul,Carigrad
Strasbourg,Страсбург,Strasburg,Страсбур,Страсбург,Страсбург,Štrasburk,Estrasburg,Estrasburgo,Strazburg,Strasbourg
Suva,Сува,Suva,Сува,Сува,Сува,Suva,Suva,Suva,Suva,Suva
Surabaya,Сурабая,Surabaja,Сурабая,Сурабая,Сурабая,Surabaja,Surabaya,Surabaya,Surabaya,Surabaja
Sydney,Сидней,Sydney,Сідней,Сідней,Сидни,Sydney,Sydney,Sídney,Sidney,Sydney
Tallinn,Таллин,Tallinn,Талін,Таллінн,Талин,Tallinn,Tallinn,Tallin,Tallinn,Talin
Tangier,Танжер,Tanger,Танжэр,Танжер,Танжер,Tanger,Tànger,Tánger,Tanca,Tanger
Toronto,Торонто,Toronto,Таронта,Торонто,Торонто,Toronto,Toronto,Toronto,Toronto,Toronto
Tashkent,Ташкент,Taszkent,Ташкент,Ташкент,Ташкент,Taškent,Taixkent,Taskent,Taşkent,Taškent
Tbilisi,Тбилиси,Tbilisi,Тбілісі,Тбілісі,Тбилиси,Tbilisi,Tbilissi,Tiflis,Tiflis,Tbilisi
Tokyo,Токио,Tokio,Токіа,Токіо,Токио,Tokio,Tòquio,Tokio,Tokyo,Tokio
Tunisia,Тунис,Tunezja,Туніс,Туніс,Тунис,Tunisko,Tunísia,Túnez,Tunus,Tunizija
Turin,Турин,Turyn,Турын,Турин,Торино,Turín,Torí,Turín,Torino,Torino
Tirana,Тирана,Tirana,Тырана,Тирана,Тирана,Tirana,Tirana,Tirana,Tiran,Tirana
Tehran,Тегеран,Teheran,Тэгеран,Тегеран,Техеран,Teherán,Teheran,Teherán,Tahran,Teheran
Tegucigalpa,Тегусигальпа,Tegucigalpa,Тэгусігальпа,Тегусігальпа,Тегусигалпа,Tegucigalpa,Tegucigalpa,Tegucigalpa,Tegucigalpa,Tegucigalpa
Tel Aviv,Тель-Авив,Tel Awiw-Jafa,Тэль-Авіў,Тель-Авів,Тел Авив,Tel Aviv,Tel Aviv,Tel Aviv,Tel Aviv,Tel Aviv
Ouagadougou,Уагадугу,Wagadugu,Уагадугу,Уагадугу,Уагадугу,Ouagadougou,Ouagadougou,Uagadugú,Vagadugu,Ouagadougou
Vladivostok,Владивосток,Władywostok,Уладзівасток,Владивосток,Владивосток,Vladivostok,Vladivostok,Vladivostok,Vladivostok,Vladivostok
Ulaanbaatar,Улан-Батор,Ułan Bator,Улан-Батар,Улан-Батор,Улан Батор,Ulánbátar,Ulan Bator,Ulán Bator,Ulan Batur,Ulan Bator
Walvis Bay,Уолфиш-Бей,Walvis Bay,Уолвіш-Бей,Волфіш-Бей,Уолфиш Бей,Walvis Bay,Walvis Bay,Walvis Bay,Walvis Bay,Zaliv kitov
Thessaloniki,Салоники,Saloniki,Салонікі,Салоніки,Солун,Soluň,Tessalònica,Salónica,Selânik,Solun
Florence,Флоренция,Florencja,Фларэнцыя,Флоренція,Флоренция,Florencie,Florència,Florencia,Floransa,Firence
Frankfurt,Франкфурт-на-Майне,Frankfurt nad Menem,Франкфурт-на-Майне,Франкфурт-на-Майні,Франкфурт на Майн,Frankfurt nad Mohanem,Frankfurt del Main,Fráncfort del Meno,Frankfurt,Frankfurt ob Majni
Freetown,Фритаун,Freetown,Фрытаўн,Фрітаун,Фрийтаун,Freetown,Freetown,Freetown,Freetown,Freetown
Khabarovsk,Хабаровск,Chabarowsk,Хабараўск,Хабаровськ,Хабаровск,Chabarovsk,Khabàrovsk,Jabárovsk,Habarovsk,Habarovsk
Hanoi,Ханой,Hanoi,Ханой,Ханой,Ханой,Hanoj,Hanoi,Hanói,Hanoi,Hanoj
Harare,Хараре,Harare,Харарэ,Хараре,Хараре,Harare,Harare,Harare,Harare,Harare
Khartoum,Хартум,Chartum,Хартум,Хартум,Хартум,Chartúm,Khartum,Jartum,Hartum,Kartum
Helsinki,Хельсинки,Helsinki,Хельсінкі,Гельсінкі,Хелзинки,Helsinky,Hèlsinki,Helsinki,Helsinki,Helsinki
Zürich,Цюрих,Zurych,Цюрых,Цюрих,Цюрих,Curych,Zuric,Zúrich,Zürih,Zürich
Shanghai,Шанхай,Szanghaj,Шанхай,Шанхай,Шанхай,Šanghaj,Shanghai,Shanghái,Şanghay,Šanghaj
Stuttgart,Штутгарт,Stuttgart,Штутгарт,Штутгарт,Щутгарт,Stuttgart,Stuttgart,Stuttgart,Stuttgart,Stuttgart
Edinburgh,Эдинбург,Edynburg,Эдынбург,Единбург,Единбург,Edinburgh,Edimburg,Edimburgo,Edinburgh,Edinburg
Yaren,Ярен,Yaren,Ярэн,Ярен,Ярен,Yaren,Yaren,Distrito de Yaren,Yaren,Yaren
Yaoundé,Яунде,Jaunde,Яўндэ,Яунде,Яунде,Yaoundé,Yaoundé,Yaundé,Yaoundé,Yaoundé
Tiraspol,Тирасполь,Tyraspol,Ціраспаль,Тирасполь,Тираспол,Tiraspol,Tiraspol,Tiráspol,Tiraspol,Tiraspol
Sevastopol,Севастополь,Sewastopol,Севастопаль,Севастополь,Севастопол,Sevastopol,Sebastòpol,Sebastopol,Sivastopol,Sevastopol
Tomsk,Томск,Tomsk,Томск,Томськ,Томск,Tomsk,Tomsk,Tomsk,Tomsk,Tomsk
Samara,Самара,Samara,Самара,Самара,Самара,Samara,Samara,Samara,Samara,Samara
Omsk,Омск,Omsk,Омск,Омськ,Омск,Omsk,Omsk,Omsk,Omsk,Omsk
Petropavlovsk-Kamchatsky,Петропавловск-Камчатский,Pietropawłowsk Kamczacki,Петрапаўлаўск-Камчацкі,Петропавловськ-Камчатський,Петропавловск Камчатски,Petropavlovsk-Kamčatskij,Petropàvlovsk-Kamtxatski,Petropávlovsk-Kamchatski,Petropavlovsk-Kamçatski,Petropavlovsk-Kamčatski
Smolensk,Смоленск,Smoleńsk,Смаленск,Смоленськ,Смоленск,Smolensk,Smolensk,Smolensk,Smolensk,Smolensk
Novo Mesto,Ново-Место,Novo Mesto,Нова-Места,Ново Место,Ново место,Novo mesto,Novo Mesto,Novo Mesto,Novo Mesto,Novo mesto
Polish–Lithuanian Commonwealth,Речь Посполитая,Rzeczpospolita Obojga Narodów,Рэч Паспалітая,Річ Посполита,Жечпосполита,Polsko-litevská unie,Confederació de Polònia i Lituània,República de las Dos Naciones,Polonya-Litvanya Birliği,Republika obeh narodov
Grand Duchy of Lithuania,Великое княжество Литовское,Wielkie Księstwo Litewskie,Вялікае Княства Літоўскае,Велике князівство Литовське,Велико литовско княжество,Litevské velkoknížectví,Gran Ducat de Lituània,Gran Ducado de Lituania,Litvanya Büyük Dükalığı,Velika litovska kneževina
St. Petersburg,Санкт-Петербург,Petersburg,Санкт-Пецярбург,Санкт-Петербург,Санкт Петербург,Petrohrad,Sant Petersburg,San Petersburgo,Sankt-Peterburg,Sankt Peterburg
Scotland,Шотландия,Szkocja,Шатландыя,Шотландія,Шотландия,Skotsko,Escòcia,Escocia,İskoçya,Škotska
Philadelphia,Филадельфия,Filadelfia,Філадэльфія,Філадельфія,Филаделфия,Filadelfie,Filadèlfia,Filadelfia,Philadelphia,Filadelfija
Crimea,Крым,Półwysep Krymski,Крым,Крим,Крим,Krym,Crimea,Crimea,Kırım,Krim
Detroit,Детройт,Detroit,Дэтройт,Детройт,Детройт,Detroit,Detroit,Detroit,Detroit,Detroit
Tskhinvali,Цхинвал,Cchinwali,Цхінвалі,Цхінвалі,Цхинвали,Cchinvali,Tskhinvali,Tsjinvali,Tshinvali,Chinval
Zhengzhou,Чжэнчжоу,Zhengzhou,Чжэнчжоу,Чженчжоу,Джънджоу,Čeng-čou,Zhengzhou,Zhengzhou,Cengcou,Džengdžov
Port-au-Prince,Порт-о-Пренс,Port-au-Prince,Порт-о-Прэнс,Порт-о-Пренс,Порт о Пренс,Port-au-Prince,Port-au-Prince,Puerto Príncipe,Port-au-Prince,Port-au-Prince
Croatia,Хорватия,Chorwacja,Харватыя,Хорватія,Хърватия,Chorvatsko,Croàcia,Croacia,Hırvatistan,Hrvaška
Bulgaria,Болгария,Bułgaria,Балгарыя,Болгарія,България,Bulharsko,Bulgària,Bulgaria,Bulgaristan,Bolgarija
Tórshavn,Торсхавн,Thorshavn,Торсхаўн,Торсгавн,Торсхавн,Tórshavn,Tórshavn,Tórshavn,Tórshavn,Tórshavn
Soviet Union,Союз Советских Социалистических Республик,Związek Socjalistycznych Republik Radzieckich,Саюз Савецкіх Сацыялістычных Рэспублік,Союз Радянських Соціалістичних Республік,Съюз на съветските социалистически републики,Sovětský svaz,Unió de Repúbliques Socialistes Soviètiques,Unión Soviética,Sovyetler Birliği,Sovjetska zveza
Jamaica,Ямайка,Jamajka,Ямайка,Ямайка,Ямайка,Jamajka,Jamaica,Jamaica,Jamaika,Jamajka
Latvia,Латвия,Łotwa,Латвія,Латвія,Латвия,Lotyšsko,Letònia,Letonia,Letonya,Latvija
Andorra,Андорра,Andora,Андора,Андорра,Андора,Andorra,Andorra,Andorra,Andorra,Andora
Baranavichy,Барановичи,Baranowicze,Баранавічы,Барановичі,Барановичи,Baranavičy,Barànavitxi,Baránavichi,Baranaviçı,Baranaviči
Ulyanovsk,Ульяновск,Uljanowsk,Ульянаўск,Ульяновськ,Уляновск,Uljanovsk,Uliànovsk,Uliánovsk,Ulyanovsk,Uljanovsk
Białystok,Белосток,Białystok,Беласток,Білосток,Бялисток,Bělostok,Białystok,Białystok,Białystok,Białystok
Venice,Венеция,Wenecja,Венецыя,Венеція,Венеция,Benátky,Venècia,Venecia,Venedik,Benetke
South America,Южная Америка,Ameryka Południowa,Паўднёвая Амерыка,Південна Америка,Южна Америка,Jižní Amerika,Amèrica del Sud,América del Sur,Güney Amerika,Južna Amerika
Polotsk,Полоцк,Połock,Полацк,Полоцьк,Полоцк,Polock,Pòlatsk,Pólatsk,Polotsk,Polock
Polesia,Полесье,Polesie,Палессе,Полісся,Полесия,Polesí,Polèsia,Polesia,Polesiye,Polesje
Saint Lucia,Сент-Люсия,Saint Lucia,Сент-Люсія,Сент-Люсія,Сейнт Лусия,Svatá Lucie,Saint Lucia,Santa Lucía,Saint Lucia,Sveta Lucija (država)
Klaipėda,Клайпеда,Kłajpeda,Клайпеда,Клайпеда,Клайпеда,Klaipėda,Klaipėda,Klaipėda,Klaipėda,Klajpeda
Sahara,Сахара,Sahara,Сахара,Сахара,Сахара,Sahara,Sàhara,Desierto del Sahara,Sahra,Sahara
Pylos,Пилос,Pylos,Пілас,Пілос,Пилос,Pylos,Pilos,Pilos,Navarin,Pilos
Slovenia,Словения,Słowenia,Славенія,Словенія,Словения,Slovinsko,Eslovènia,Eslovenia,Slovenya,Slovenija
Pripyat,Припять,Prypeć,Прып’яць,Прип'ять,Припят,Pripjať,Prípiat,Prípiat,Pripyat,Pripjat
Murmansk,Мурманск,Murmańsk,Мурманск,Мурманськ,Мурманск,Murmansk,Múrmansk,Múrmansk,Murmansk,Murmansk
Bryansk,Брянск,Briańsk,Бранск,Брянськ,Брянск,Brjansk,Briansk,Briansk,Bryansk,Brjansk
Ushuaia,Ушуая,Ushuaia,Ушуая,Усвая,Ушуая,Ushuaia,Ushuaia,Ushuaia,Ushuaia,Ushuaia
Narva,Нарва,Narwa,Нарва,Нарва,Нарва,Narva,Narva,Narva,Narva,Narva
Estonia,Эстония,Estonia,Эстонія,Естонія,Естония,Estonsko,Estònia,Estonia,Estonya,Estonija
Hungary,Венгрия,Węgry,Венгрыя,Угорщина,Унгария,Maďarsko,Hongria,Hungría,Macaristan,Madžarska
Slovakia,Словакия,Słowacja,Славакія,Словаччина,Словакия,Slovensko,Eslovàquia,Eslovaquia,Slovakya,Slovaška
Finland,Финляндия,Finlandia,Фінляндыя,Фінляндія,Финландия,Finsko,Finlàndia,Finlandia,Finlandiya,Finska
Moldova,Молдавия,Mołdawia,Малдова,Молдова,Молдова,Moldavsko,República de Moldàvia,Moldavia,Moldova,Moldavija
Trakai,Тракай,Troki,Тракай,Тракай,Тракай,Trakai,Trakai,Trakai,Trakai,Trakai
Portugal,Португалия,Portugalia,Партугалія,Португалія,Португалия,Portugalsko,Portugal,Portugal,Portekiz,Portugalska
Ireland,Ирландия,Irlandia,Ірландыя,Ірландія,Ирландия,Irsko,Irlanda,Irlanda,İrlanda,Irska
Novosibirsk,Новосибирск,Nowosybirsk,Новасібірск,Новосибірськ,Новосибирск,Novosibirsk,Novossibirsk,Novosibirsk,Novosibirsk,Novosibirsk
Cyprus,Республика Кипр,Cypr,Кіпр,Кіпр,Република Кипър,Kypr,Xipre,Chipre,Kıbrıs Cumhuriyeti,Ciper
Curitiba,Куритиба,Kurytyba,Курытыба,Куритиба,Куритиба,Curitiba,Curitiba,Curitiba,Curitiba,Curitiba
Namibia,Намибия,Namibia,Намібія,Намібія,Намибия,Namibie,Namíbia,Namibia,Namibya,Namibija
Damascus,Дамаск,Damaszek,Дамаск,Дамаск,Дамаск,Damašek,Damasc,Damasco,Şam,Damask
Kazakhstan,Казахстан,Kazachstan,Казахстан,Казахстан,Казахстан,Kazachstán,Kazakhstan,Kazajistán,Kazakistan,Kazahstan
Lviv,Львов,Lwów,Львоў,Львів,Лвов,Lvov,Lviv,Leópolis,Lviv,Lvov
Armenia,Армения,Armenia,Арменія,Вірменія,Армения,Arménie,Armènia,Armenia,Ermenistan,Armenija
Turkmenistan,Туркменистан,Turkmenistan,Туркменістан,Туркменістан,Туркменистан,Turkmenistán,Turkmenistan,Turkmenistán,Türkmenistan,Turkmenistan
Uzbekistan,Узбекистан,Uzbekistan,Узбекістан,Узбекистан,Узбекистан,Uzbekistán,Uzbekistan,Uzbekistán,Özbekistan,Uzbekistan
Kyrgyzstan,Киргизия,Kirgistan,Кыргызстан,Киргизстан,Киргизстан,Kyrgyzstán,Kirguizistan,Kirguistán,Kırgızistan,Kirgizistan
Tajikistan,Таджикистан,Tadżykistan,Таджыкістан,Таджикистан,Таджикистан,Tádžikistán,Tadjikistan,Tayikistán,Tacikistan,Tadžikistan
Murom,Муром,Murom,Мурам,Муром,Муром,Murom,Múrom,Múrom,Murom,Murom
Veliky Novgorod,Великий Новгород,Nowogród Wielki,Вялікі Ноўгарад,Великий Новгород,Велики Новгород,Veliký Novgorod,Nóvgorod,Veliki Nóvgorod,Veliki Novgorod,Veliki Novgorod
Wrocław,Вроцлав,Wrocław,Уроцлаў,Вроцлав,Вроцлав,Vratislav,Breslau,Breslavia,Wrocław,Vroclav
Ottawa,Оттава,Ottawa,Атава,Оттава,Отава,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa
Naypyidaw,Нейпьидо,Naypyidaw,Найп’іда,Найп'їдо,Найпидо,Neipyijto,Naypyidaw,Naipyidó,Nepido,Nepjido
Ulan-Ude,Улан-Удэ,Ułan Ude,Улан-Удэ,Улан-Уде,Улан Уде,Ulan-Ude,Ulan-Udè,Ulán-Udé,Ulan-Ude,Ulan-Ude
Palmyra,Пальмира,Palmyra,Пальміра,Пальміра,Палмира,Palmýra,Palmira,Palmira,Palmira,Palmira
Krasnoyarsk,Красноярск,Krasnojarsk,Краснаярск,Красноярськ,Красноярск,Krasnojarsk,Krasnoiarsk,Krasnoyarsk,Krasnoyarsk,Krasnojarsk
Sayanogorsk,Саяногорск,Sajanogorsk,Саянагорск,Саяногорськ,Саяногорск,Sajanogorsk,Saianogorsk,Sayanogorsk,Sayanogorsk,Sajanogorsk
Abakan,Абакан,Abakan,Абакан,Абакан,Абакан,Abakan,Abakan,Abakán,Abakan,Abakan
Tyumen,Тюмень,Tiumeń,Цюмень,Тюмень,Тюмен,Ťumeň,Tiumén,Tiumén,Tümen,Tjumen
Khanty-Mansiysk,Ханты-Мансийск,Chanty-Mansyjsk,Ханты-Мансійск,Ханти-Мансійськ,Ханти-Мансийск,Chanty-Mansijsk,Khanti-Mansisk,Janti-Mansisk,Hantı-Mansiysk,Hanti-Mansijsk
Salekhard,Салехард,Salechard,Салехард,Салехард,Салехард,Salechard,Salekhard,Salejard,Salehard,Salehard
Samara,Самара,Samara,Самара,Самара,Самара,Samara,Samara,Samara,Samara,Samara
Sukhumi,Сухум,Suchumi,Сухумі,Сухумі,Сухуми,Suchumi,Sukhumi,Sujumi,Sohum,Akva
Gagra,Гагра,Gagra,Гагра,Гагра,Гагра,Gagra,Gagra,Gagra,Gagra,Gagra
Biysk,Бийск,Bijsk,Бійск,Бійськ,Бийск,Bijsk,Biïsk,Bisk,Biysk,Bijsk
Barnaul,Барнаул,Barnauł,Барнаул,Барнаул,Барнаул,Barnaul,Barnaül,Barnaúl,Barnaul,Barnaul
Trento,Тренто,Trydent,Трэнта,Тренто,Тренто,Trento,Trento,Trento,Trento,Trento
Uetersen,Итерзен,Uetersen,Ютэрзен,Ютерзен,Ютерзен,Uetersen,Uetersen,Uetersen,Uetersen,Uetersen
Sumer,Шумер,Sumer,Шумер,Шумер,Шумер,Sumer,Sumer,Sumeria,Sümerler,Sumerija
Assyria,Ассирия,Asyria,Асірыя,Ассирія,Асирия,Asýrie,Assíria,Asiria,Asurlular,Asirija
Macedonia,Македония,Macedonia,Македонія,Македонія,Македония,Makedonie,Macedònia,Macedonia,Makedonya,Makedonija
Mali,Мали,Mali,Малі,Малі,Мали,Mali,Mali,Malí,Mali,Mali
Cape Verde,Кабо-Верде,Republika Zielonego Przylądka,Каба-Вердэ,Кабо-Верде,Кабо Верде,Kapverdy,Cap Verd,Cabo Verde,Yeşil Burun Adaları,Zelenortski otoki
Ecuador,Эквадор,Ekwador,Эквадор,Еквадор,Еквадор,Ekvádor,Equador,Ecuador,Ekvador,Ekvador
Phoenicia,Финикия,Fenicja,Фінікія,Фінікія,Финикия,Fénicie,Fenícia,Fenicia,Fenikeliler,Fenicija
Dniester,Днестр,Dniestr,Днестр,Дністер,Днестър,Dněstr,Dnièster,Dniéster,Dinyester,Dnester
Akkadian Empire,Аккад,Imperium akadyjskie,Акад,Аккад,Акадска империя,Akkadská říše,Imperi Accadi,Imperio acadio,Akad İmparatorluğu,Akadsko kraljestvo
Bactria,Бактрия,Baktria,Бактрыя,Бактрія,Бактрия,Baktrie,Bactriana,Bactriana,Baktriya,Baktrija
Hebron,Хеврон,Hebron,Хеўрон,Хеврон,Хеброн,Hebron,Hebron,Hebrón,El-Halil,Hebron
Arabian Peninsula,Аравийский полуостров,Półwysep Arabski,Аравійскі паўвостраў,Аравійський півострів,Арабски полуостров,Arabský poloostrov,Aràbia,Arabia,Arap Yarımadası,Arabski polotok
Livonia,Ливония,Inflanty,Лівонія,Лівонія,Ливония,Livonsko,Livònia,Livonia,Livonya,Livonija
Duchy of Courland and Semigallia,Курляндия и Семигалия,Księstwo Kurlandii i Semigalii,Курляндскае і Земгальскае герцагства,Герцогство Курляндії і Семигалії,Курландия и Семигалия,Kuronské a zemgalské vévodství,Ducat de Curlàndia i Semigàlia,Ducado de Curlandia y Semigalia,Kurlandiya ve Semigalya Dükalığı,Vojvodstvo Kurlandija in Semgalija
New Orleans,Новый Орлеан,Nowy Orlean,Новы Арлеан,Новий Орлеан,Ню Орлиънс,New Orleans,Nova Orleans,Nueva Orleans,New Orleans,New Orleans
Kaunas,Каунас,Kowno,Каўнас,Каунас,Каунас,Kaunas,Kaunas,Kaunas,Kaunas,Kaunas
Nauru,Науру,Nauru,Науру,Науру,Науру,Nauru,Nauru,Nauru,Nauru,Nauru
Chelyabinsk,Челябинск,Czelabińsk,Чалябінск,Челябінськ,Челябинск,Čeljabinsk,Txeliàbinsk,Cheliábinsk,Çelyabinsk,Čeljabinsk
South Ossetia,Южная Осетия,Osetia Południowa,Паўднёвая Асеція,Південна Осетія,Южна Осетия,Jižní Osetie,Ossètia del Sud,Osetia del Sur,Güney Osetya,Južna Osetija
Troy,Троя,Troja,Троя,Троя,Троя,Trója,Troia,Troya,Troya,Troja
Maykop,Майкоп,Majkop,Майкоп,Майкоп,Майкоп,Majkop,Maikop,Maikop,Maykop,Majkop
Derbent,Дербент,Derbent,Дзербент,Дербент,Дербент,Derbent,Derbent,Derbent,Derbent,Derbent
Makhachkala,Махачкала,Machaczkała,Махачкала,Махачкала,Махачкала,Machačkala,Makhatxkalà,Majachkalá,Mahaçkale,Mahačkala
Duchy of Athens,Афинское герцогство,Księstwo Aten,Герцагства Афінскае,Афінське герцогство,Атинско херцогство,Athénské vévodství,Ducat d'Atenes,Ducado de Atenas,Atina Dükalığı,Atenska vojvodina
Kingdom of Thessalonica,Королевство Фессалоники,Królestwo Tesaloniki,Каралеўства Фесалонікі,Королівство Фессалоніки,Солунско кралство,Soluňské království,Regne de Tessalònica,Reino de Tesalónica,Selanik Krallığı,Solunsko kraljestvo
Patras,Патры,Patras,Патры,Патри,Патра,Patra,Patres,Patras,Patra,Patras
Larissa,Лариса,Larisa,Ларыса,Лариса,Лариса,Larisa,Làrissa,Larisa,Larisa,Larisa
Nineveh,Ниневия,Niniwa,Ніневія,Ніневія,Ниневия,Ninive,Nínive,Nínive,Ninova,Ninive
Babylon,Вавилон,Babilon,Вавілон,Вавилон,Вавилон,Babylón,Babilònia,Babilonia,Babil,Babilon
Novi Sad,Нови-Сад,Nowy Sad,Нові-Сад,Новий Сад,Нови Сад,Novi Sad,Novi Sad,Novi Sad,Novi Sad,Novi Sad
Kharkiv,Харьков,Charków,Харкаў,Харків,Харков,Charkov,Khàrkiv,Járkov,Harkiv,Harkov
Pristina,Приштина,Prisztina,Прышціна,Приштина,Прищина,Priština,Pristina,Pristina,Priştine,Priština
Podgorica,Подгорица,Podgorica,Падгорыца,Подгориця,Подгорица,Podgorica,Podgorica,Podgorica,Podgorica,Podgorica
Kragujevac,Крагуевац,Kragujevac,Крагуевац,Крагуєваць,Крагуевац,Kragujevac,Kragujevac,Kragujevac,Kraguyevaç,Kragujevac
Great Moravia,Великая Моравия,Państwo wielkomorawskie,Вялікая Маравія,Велика Моравія,Великоморавия,Velkomoravská říše,Gran Moràvia,Gran Moravia,Büyük Moravya,Velikomoravska
Niš,Ниш,Nisz,Ніш,Ниш,Ниш,Niš,Niš,Niš,Niş,Niš
Sombor,Сомбор,Sombor,Сомбар,Сомбор,Сомбор,Sombor,Sombor,Sombor,Sombor,Sombor
Subotica,Суботица,Subotica,Субаціца,Суботиця,Суботица,Subotica,Subotica,Subotica,Sobotka,Subotica
