en,ru,pl,be,uk,bg,sl,cs,ca,es,tr
There are few accredited diplomats in [???].,В [???] мало аккредитованных дипломатов.,W [???] akredytowanych dyplomatów jest niewielu.,У [???] мала акрэдытаваных дыпламатаў.,У [???] мало акредитованих дипломатів.,Има малко акредитирани дипломати в [???].,V [???] je malo akreditiranih diplomatov.,V [???] je málo akreditovaných diplomatů.,Hi ha pocs diplomàtics acreditats a [???].,Hay pocos diplomáticos acreditados en [???].,[???]'da çok az akredite diplomat var.
Large numbers of leading international insurance companies are based in [???] making the territory one of the world's largest reinsurance centres.,"Большое количество ведущих международных страховых компаний базируется в [???], что делает эту территорию одним из крупнейших в мире центров перестрахования.","Duża liczba wiodących międzynarodowych firm ubezpieczeniowych ma swoje siedziby w [???], co czyni terytorium jednym z największych światowych centrów reasekuracji.","Вялікая колькасць вядучых міжнародных страхавых кампаній знаходзіцца ў [???], што робіць гэтую тэрыторыю адным з найбуйнейшых у свеце цэнтраў перастрахавання.","Велика кількість провідних міжнародних страхових компаній розташовані в [???], що робить цю територію одним із найбільших у світі центрів перестрахування.","Голям брой водещи международни застрахователни компании са базирани в [???], което прави територията един от най-големите презастрахователни центрове в света.","Veliko število vodilnih mednarodnih zavarovalniških družb ima sedež v [???], zaradi česar je ozemlje eno največjih svetovnih središč pozavarovanja.","Velký počet předních mezinárodních pojišťovacích společností sídlí v [???], což z tohoto území činí jedno z největších světových zajistných center.",Un gran nombre de companyies d'assegurances internacionals líders tenen la seu a [???] fent del territori un dels centres de reassegurança més grans del món.,"Un gran número de las principales compañías de seguros internacionales tienen su sede en [???], lo que convierte al territorio en uno de los centros de reaseguros más grandes del mundo.",[???]'da çok sayıda önde gelen uluslararası sigorta şirketi bulunuyor ve bu da bölgeyi dünyanın en büyük reasürans merkezlerinden biri haline getiriyor.
Dance and music are important in [???].,Танец и музыка важны в [???].,Taniec i muzyka są ważne w [???].,Танцы і музыка важныя ў [???].,Танець і музика важливі в [???].,Танците и музиката са важни в [???].,Ples in glasba sta pomembna v [???].,Tanec a hudba jsou v [???] důležité.,La dansa i la música són importants a [???].,La danza y la música son importantes en [???].,[???]'da dans ve müzik önemlidir.
"Sport is a popular pastime in [???], especially cricket, football, sailing, golf and rugby union.","Спорт - популярное времяпрепровождение в [???], особенно крикет, футбол, парусный спорт, гольф и регби.","Sport jest popularną rozrywką w [???], zwłaszcza krykiet, piłka nożna, żeglarstwo, golf i rugby.","Спорт з'яўляецца папулярным заняткам у [???], асабліва крыкет, футбол, парусны спорт, гольф і рэгбі.","Спорт є популярною розвагою в [???], особливо крикет, футбол, вітрильний спорт, гольф і регбі.","Спортът е популярно забавление в [???], особено крикет, футбол, ветроходство, голф и ръгби.","Šport je priljubljena zabava v [???], zlasti kriket, nogomet, jadranje, golf in ragbi.","Sport je oblíbenou zábavou v [???], zejména kriket, fotbal, plachtění, golf a rugby.","L'esport és un passatemps popular a [???], especialment el cricket, el futbol, ​​la vela, el golf i el rugbi.","El deporte es un pasatiempo popular en [???], especialmente el cricket, el fútbol, ​​la vela, el golf y el rugby.","Spor [???]'da popüler bir eğlencedir, özellikle kriket, futbol, ​​yelken, golf ve ragbi birliği."
"In August 2007, more conflicts arose in [???], as the city demanded the discussion of the seat of government inside the assembly, hoping the executive and legislative branch could return to the city, but assembly and the government said this demand was overwhelmingly impractical and politically undesirable.","В августе 2007 г. в [???] возникли новые конфликты, поскольку городские власти потребовали обсуждения места пребывания правительства внутри собрания, надеясь, что исполнительная и законодательная власть смогут вернуться в город, но собрание и правительство заявили, что это требование было крайне непрактично и политически нежелательно.","W sierpniu 2007 roku doszło do kolejnych konfliktów w [???], gdy miasto zażądało dyskusji na temat siedziby rządu w zgromadzeniu, mając nadzieję na powrót władzy wykonawczej i ustawodawczej do miasta, ale zgromadzenie i rząd stwierdziły, że żądanie to było zdecydowanie niepraktyczne i politycznie niepożądane.","У жніўні 2007 года ў [???] узніклі новыя канфлікты, калі горад запатрабаваў абмеркаваць месцазнаходжанне ўрада ў асамблеі, спадзеючыся, што выканаўчая і заканадаўчая ўлада вернецца ў горад, але асамблея і ўрад заявілі, што гэта патрабаванне было абсалютна непрактычныя і палітычна непажаданыя.","У серпні 2007 року виникло більше конфліктів у [???], оскільки міська влада вимагала обговорити місце розташування уряду всередині зборів, сподіваючись, що виконавча та законодавча гілки влади зможуть повернутися до міста, але збори та уряд заявили, що ця вимога є вкрай непрактичним і політично небажаним.","През август 2007 г. възникнаха още конфликти в [???], тъй като градът поиска обсъждането на седалището на правителството в събранието, надявайки се, че изпълнителната и законодателната власт могат да се върнат в града, но събранието и правителството казаха, че това искане е изключително непрактичен и политически нежелан.","Avgusta 2007 je prišlo do novih konfliktov v [???], ko je mesto zahtevalo razpravo o sedežu vlade znotraj skupščine, v upanju, da se bosta izvršna in zakonodajna veja oblasti lahko vrnili v mesto, vendar sta skupščina in vlada dejali, da je ta zahteva nadvse nepraktično in politično nezaželeno.","V srpnu 2007 došlo v [???] k dalším konfliktům, protože město požadovalo projednání sídla vlády uvnitř shromáždění v naději, že by se výkonná a zákonodárná moc mohla vrátit do města, ale shromáždění a vláda uvedly, že tento požadavek byl naprosto nepraktické a politicky nežádoucí.","L'agost de 2007, van sorgir més conflictes a [???], ja que la ciutat va exigir la discussió de la seu del govern dins de l'assemblea, esperant que el poder executiu i legislatiu poguessin tornar a la ciutat, però l'assemblea i el govern van dir que aquesta demanda era aclaparadorament impracticable i políticament indesitjable.","En agosto de 2007, surgieron más conflictos en [???], ya que la ciudad exigió la discusión de la sede del gobierno dentro de la asamblea, esperando que el poder ejecutivo y legislativo pudieran regresar a la ciudad, pero la asamblea y el gobierno dijeron que esta demanda era abrumadoramente impráctico y políticamente indeseable.","Ağustos 2007'de, şehir yürütme ve yasama organının şehre dönebileceğini umarak hükümet koltuğunun meclis içinde tartışılmasını talep ettiğinden [???]'da daha fazla çatışma çıktı, ancak meclis ve hükümet bu talebin yanlış olduğunu söyledi. ezici bir çoğunlukla pratik değildir ve politik olarak istenmeyen bir durumdur."
"The conflict turned into violence, and the assembly was moved to a military area in [???].","Конфликт перерос в насилие, и собрание было перенесено в военную зону в [???].","Konflikt przerodził się w przemoc, a zgromadzenie przeniesiono na teren wojskowy w [???].","Канфлікт перарос у гвалт, і сход быў перанесены ў вайсковую зону ў [???].","Конфлікт переріс у насильство, і зібрання було перенесено у військовий район у [???].",Конфликтът се превърна в насилие и събранието беше преместено във военна зона в [???].,Konflikt se je sprevrgel v nasilje in zbor je bil prestavljen na vojaško območje leta [???].,Konflikt se změnil v násilí a shromáždění bylo přesunuto do vojenské oblasti v [???].,"El conflicte es va convertir en violència, i l'assemblea es va traslladar a una zona militar a [???].",El conflicto se convirtió en violencia y la asamblea fue trasladada a una zona militar en [???].,Çatışma şiddete dönüştü ve meclis [???]'daki askeri bir bölgeye taşındı.
The weather in [???] can vary drastically from one climatic zone to another.,Погода в [???] может сильно различаться от одной климатической зоны к другой.,Pogoda w [???] może się drastycznie różnić w zależności od strefy klimatycznej.,Надвор'е ў [???] можа рэзка адрознівацца ад адной кліматычнай зоны да іншай.,Погода в [???] може різко відрізнятися від однієї кліматичної зони до іншої.,Времето в [???] може да варира драстично от една климатична зона до друга.,Vreme v [???] se lahko drastično razlikuje od enega podnebnega območja do drugega.,Počasí v [???] se může v jednotlivých klimatických pásmech drasticky lišit.,El temps a [???] pot variar dràsticament d'una zona climàtica a una altra.,El tiempo en [???] puede variar drásticamente de una zona climática a otra.,[???] hava durumu bir iklim bölgesinden diğerine büyük ölçüde değişebilir.
The summer months in [???] are November through March.,Летние месяцы в [???] — с ноября по март.,Miesiące letnie w [???] trwają od listopada do marca.,Летнія месяцы ў [???] - з лістапада па сакавік.,Літні місяці в [???] - з листопада по березень.,Летните месеци в [???] са от ноември до март.,Poletni meseci v [???] so od novembra do marca.,Letní měsíce v [???] jsou listopad až březen.,Els mesos d'estiu a [???] són de novembre a març.,Los meses de verano en [???] son ​​de noviembre a marzo.,[???] yaz ayları Kasım'dan Mart'a kadardır.
"Foreign investors are accorded national treatment, and foreign ownership of companies enjoys virtually no restrictions in [???].","Иностранным инвесторам предоставляется национальный режим, а иностранное владение компаниями практически не имеет ограничений в [???].","Zagranicznym inwestorom przyznaje się traktowanie narodowe, a zagraniczna własność firm nie podlega praktycznie żadnym ograniczeniom w [???].","Замежным інвестарам прадастаўляецца нацыянальны рэжым, а замежнае валоданне кампаніямі практычна не мае абмежаванняў у [???].","Іноземним інвесторам надається національний режим, а іноземне володіння компаніями практично не має обмежень у [???].","На чуждестранните инвеститори се предоставя национално третиране, а чуждестранната собственост върху компании практически няма ограничения в [???].","Tuji vlagatelji so deležni nacionalne obravnave, tuje lastništvo podjetij pa v [???] praktično nima nobenih omejitev.",Zahraničním investorům je přiznáno národní zacházení a zahraniční vlastnictví společností nemá v [???] prakticky žádná omezení.,Els inversors estrangers reben tractament nacional i la propietat estrangera d'empreses pràcticament no gaudeix de restriccions a [???].,"Los inversionistas extranjeros reciben trato nacional, y la propiedad extranjera de empresas prácticamente no tiene restricciones en [???].",Yabancı yatırımcılara ulusal muamele yapılıyor ve şirketlerin yabancı mülkiyeti [???]'de neredeyse hiçbir kısıtlamadan yararlanmıyor.
"Following a tense period of escalating tensions and sporadic military incidents, open warfare began in [???] on April 6.",После напряженного периода эскалации напряженности и спорадических военных инцидентов 6 апреля в [???] начались открытые боевые действия.,"Po napiętym okresie eskalacji napięć i sporadycznych incydentów wojskowych, 6 kwietnia w [???] rozpoczęła się otwarta wojna.",Пасля напружанага перыяду эскалацыі напружанасці і спарадычных ваенных інцыдэнтаў адкрытая вайна пачалася ў [???] 6 красавіка.,Після напруженого періоду ескалації напруженості та спорадичних військових інцидентів відкрита війна почалася в [???] 6 квітня.,"След напрегнат период на ескалиране на напрежението и спорадични военни инциденти, откритата война започна в [???] на 6 април.",Po napetem obdobju stopnjevanja napetosti in občasnih vojaških incidentov se je 6. aprila v [???] začelo odprto vojno.,Po napjatém období eskalace napětí a sporadických vojenských incidentů začala v [???] dne 6. dubna otevřená válka.,"Després d'un període tens d'escalada de tensions i incidents militars esporàdics, la guerra oberta va començar a [???] el 6 d'abril.","Luego de un período tenso de tensiones crecientes e incidentes militares esporádicos, la guerra abierta comenzó en [???] el 6 de abril.","Artan gerilimler ve ara sıra meydana gelen askeri olaylarla geçen gergin bir dönemin ardından, 6 Nisan'da [???]'da açık savaş başladı."
"Tourism in [???] is chiefly focused on historical, religious, and cultural aspects.","Туризм в [???] в основном ориентирован на исторические, религиозные и культурные аспекты.","Turystyka w [???] koncentruje się głównie na aspektach historycznych, religijnych i kulturowych.","Турызм у [???] галоўным чынам засяроджаны на гістарычных, рэлігійных і культурных аспектах.","Туризм в [???] в основному зосереджений на історичних, релігійних і культурних аспектах.","Туризмът в [???] е фокусиран главно върху исторически, религиозни и културни аспекти.","Turizem v [???] je osredotočen predvsem na zgodovinske, verske in kulturne vidike.","Cestovní ruch v [???] je zaměřen především na historické, náboženské a kulturní aspekty.","El turisme a [???] se centra principalment en aspectes històrics, religiosos i culturals.","El turismo en [???] se centra principalmente en aspectos históricos, religiosos y culturales.","[???]'da turizm esas olarak tarihi, dini ve kültürel yönlere odaklanır."
"As a consequence, income inequality in [???] is one of the highest in the world.","Как следствие, неравенство доходов в [???] является одним из самых высоких в мире.",W konsekwencji nierówności dochodowe w [???] należą do najwyższych na świecie.,"Як следства, няроўнасць даходаў у [???] адна з самых высокіх у свеце.","Як наслідок, нерівність доходів у [???] є однією з найвищих у світі.",В резултат на това неравенството в доходите в [???] е едно от най-високите в света.,Posledično je dohodkovna neenakost v [???] ena najvišjih na svetu.,V důsledku toho je příjmová nerovnost v [???] jedna z nejvyšších na světě.,"Com a conseqüència, la desigualtat d'ingressos a [???] és una de les més altes del món.","Como consecuencia, la desigualdad de ingresos en [???] es una de las más altas del mundo.","Sonuç olarak, [???] bölgesindeki gelir eşitsizliği dünyadaki en yüksek eşitsizliklerden biridir."
Surface water is very scarce in [???] and less than 5% of the agriculture in the country is sustainable by rainfall.,"Поверхностных вод очень мало в [???], и менее 5% сельского хозяйства в стране устойчиво за счет дождей.","Wody powierzchniowe są bardzo rzadkie w [???], a mniej niż 5% rolnictwa w kraju jest utrzymywane dzięki opadom.","У [???] вельмі мала паверхневых вод, і менш за 5% сельскай гаспадаркі ў краіне забяспечваецца за кошт ападкаў.","Поверхневі води дуже дефіцитні в [???], і менше 5% сільського господарства в країні є стійким за рахунок опадів.",Повърхностните води са много оскъдни в [???] и по-малко от 5% от селското стопанство в страната е устойчиво от валежи.,Površinske vode je v [???] zelo malo in manj kot 5 % kmetijstva v državi je trajnostnega s padavinami.,Povrchová voda je v [???] velmi vzácná a méně než 5 % zemědělství v zemi je udržitelných díky dešťovým srážkám.,L'aigua superficial és molt escassa a [???] i menys del 5% de l'agricultura del país és sostenible per les pluges.,El agua superficial es muy escasa en [???] y menos del 5% de la agricultura en el país es sostenible por lluvia.,[???] 'da yüzey suyu çok azdır ve ülkedeki tarımın %5'inden azı yağışla sürdürülebilir.
""" Over 50% of all households in [???] own cattle, which is presently the largest single source of rural income"".","«Более 50% всех домохозяйств в [???] владеют скотом, который в настоящее время является крупнейшим источником дохода в сельской местности».","""Ponad 50% wszystkich gospodarstw domowych w [???] posiada bydło, które jest obecnie największym pojedynczym źródłem dochodu wsi"".","«Больш за 50% усіх хатніх гаспадарак у [???] валодаюць буйной рагатай жывёлай, якая ў цяперашні час з'яўляецца найбуйнейшай адзінкавай крыніцай сельскага даходу».","«Понад 50% усіх домогосподарств у [???] володіють великою рогатою худобою, яка наразі є найбільшим єдиним джерелом доходу в сільській місцевості».","""Над 50% от всички домакинства в [???] притежават добитък, който в момента е най-големият единичен източник на доход в селските райони"".",""" Več kot 50 % vseh gospodinjstev v [???] ima govedo, ki je trenutno največji posamezni vir dohodka na podeželju"".","„Přes 50 % všech domácností v [???] vlastní dobytek, který je v současnosti největším samostatným zdrojem venkovského příjmu“.","""Més del 50% de totes les llars de [???] posseeixen bestiar, que actualment és la principal font d'ingressos rurals"".",""" Más del 50% de todos los hogares en [???] poseen ganado, que actualmente es la mayor fuente individual de ingresos rurales"".","""[???]'daki tüm hanelerin %50'sinden fazlası, şu anda kırsal gelirin en büyük tek kaynağı olan sığırlara sahiptir""."
"Several international mining corporations have established regional headquarters in [???], and prospected for diamonds, gold, uranium, copper, and even oil, many coming back with positive results.","Несколько международных горнодобывающих корпораций открыли региональные штаб-квартиры в [???] и занимались разведкой алмазов, золота, урана, меди и даже нефти, многие из которых вернулись с положительными результатами.","Kilka międzynarodowych korporacji wydobywczych założyło regionalne siedziby w [???] i poszukiwało diamentów, złota, uranu, miedzi, a nawet ropy naftowej, z których wiele wróciło z pozytywnymi wynikami.","Некалькі міжнародных горназдабыўных карпарацый стварылі рэгіянальныя штаб-кватэры ў [???] і пачалі пошук алмазаў, золата, урану, медзі і нават нафты, многія з якіх вярнуліся са станоўчымі вынікамі.","Декілька міжнародних гірничодобувних корпорацій створили регіональні штаб-квартири в [???] і почали розвідувати алмази, золото, уран, мідь і навіть нафту, багато з яких повернулися з позитивними результатами.","Няколко международни минни корпорации са създали регионални централи в [???] и търсят диаманти, злато, уран, мед и дори нефт, много от които се завръщат с положителни резултати.","Več mednarodnih rudarskih korporacij je ustanovilo regionalne sedeže v [???] in iskalo diamante, zlato, uran, baker in celo nafto, mnoge so se vrnile s pozitivnimi rezultati.","Několik mezinárodních těžařských korporací založilo regionální ředitelství v [???] a hledá diamanty, zlato, uran, měď a dokonce ropu, přičemž mnohé se vracejí s pozitivními výsledky.","Diverses corporacions mineres internacionals han establert seus regionals a [???], i han buscat diamants, or, urani, coure i fins i tot petroli, moltes tornant amb resultats positius.","Varias corporaciones mineras internacionales han establecido sedes regionales en [???] y han realizado prospecciones en busca de diamantes, oro, uranio, cobre e incluso petróleo, muchas de las cuales han dado resultados positivos.","Birkaç uluslararası madencilik şirketi [???]'da bölgesel merkezler kurdu ve elmas, altın, uranyum, bakır ve hatta petrol aradı ve birçoğu olumlu sonuçlarla geri döndü."
"Government announced in early 2009, that they would try and shift their economic dependence on diamonds, over serious concern that diamonds are predicted to dry out in [???] over the next twenty years.","Правительство объявило в начале 2009 года, что оно попытается изменить свою экономическую зависимость от алмазов из-за серьезных опасений, что алмазы, по прогнозам, иссякнут в [???] в течение следующих двадцати лет.","Rząd ogłosił na początku 2009 r., że spróbuje zmienić swoją ekonomiczną zależność od diamentów, z powodu poważnych obaw, że diamenty mają wyschnąć w [???] w ciągu następnych dwudziestu lat.","У пачатку 2009 года ўрад абвясціў, што паспрабуе перанесці сваю эканамічную залежнасць ад алмазаў з-за сур'ёзнай занепакоенасці тым, што, па прагнозах, алмазы высахнуць [???] на працягу наступных дваццаці гадоў.","На початку 2009 року уряд оголосив, що спробує зменшити свою економічну залежність від алмазів через серйозну стурбованість тим, що алмази, за прогнозами, висохнуть [???] протягом наступних двадцяти років.","Правителството обяви в началото на 2009 г., че ще се опита да пренасочи икономическата си зависимост от диамантите поради сериозна загриженост, че се предвижда диамантите да изсъхнат през [???] през следващите двадесет години.","Vlada je v začetku leta 2009 napovedala, da bo poskušala preusmeriti svojo gospodarsko odvisnost od diamantov zaradi resne zaskrbljenosti, da naj bi se diamanti izsušili v [???] v naslednjih dvajsetih letih.","Vláda počátkem roku 2009 oznámila, že se pokusí posunout svou ekonomickou závislost na diamantech přes vážné obavy, že diamanty podle předpovědi v příštích dvaceti letech vyschnou v [???].","El govern va anunciar a principis de 2009 que intentaria canviar la seva dependència econòmica dels diamants, davant la preocupació seriosa que es preveu que els diamants s'assequin en [???] durant els propers vint anys.","El gobierno anunció a principios de 2009 que intentaría cambiar su dependencia económica de los diamantes, debido a la grave preocupación de que se pronostica que los diamantes se secarán en [???] durante los próximos veinte años.","Hükümet, 2009'un başlarında, elmasların önümüzdeki yirmi yıl içinde [???] içinde kuruyacağına dair ciddi endişeler üzerine, elmaslara olan ekonomik bağımlılıklarını değiştirmeye çalışacaklarını duyurdu."
The most popular sport in [???] is football.,Самый популярный вид спорта в [???] — футбол.,Najpopularniejszym sportem w [???] jest piłka nożna.,Самы папулярны від спорту ў [???] - футбол.,Найпопулярнішим видом спорту в [???] є футбол.,Най-популярният спорт в [???] е футболът.,Najbolj priljubljen šport v [???] je nogomet.,Nejpopulárnějším sportem v [???] je fotbal.,L'esport més popular a [???] és el futbol.,El deporte más popular en [???] es el fútbol.,[???]'daki en popüler spor futboldur.
Bridge was first played in [???] thirty years ago and grew in popularity during the 1980s.,"Впервые в бридж сыграли в [???] тридцать лет назад, и его популярность возросла в 1980-х годах.","W brydża po raz pierwszy grano w [???] trzydzieści lat temu, a popularność zyskała w latach 80.","У брыдж упершыню згулялі ў [???] трыццаць гадоў таму, і папулярнасць нарасла ў 1980-я гады.","У бридж вперше зіграли в [???] тридцять років тому, а популярність набула в 1980-х роках.",Бриджът беше изигран за първи път в [???] преди тридесет години и набра популярност през 80-те години.,"Bridž so prvič igrali v [???] pred tridesetimi leti, priljubljenost pa je postala v osemdesetih letih prejšnjega stoletja.",Bridge se poprvé hrál v [???] před třiceti lety a jeho popularita rostla během osmdesátých let.,Bridge es va tocar per primera vegada a [???] fa trenta anys i va créixer en popularitat durant la dècada de 1980.,El bridge se jugó por primera vez en [???] hace treinta años y creció en popularidad durante la década de 1980.,Briç ilk olarak otuz yıl önce [???]'da oynandı ve popülaritesi 1980'lerde arttı.
It functions as a medium of local history and folklore and is therefore a cherished cultural form of expression that is part of the curriculum in [???] schools.,"Он функционирует как средство местной истории и фольклора и, следовательно, является заветной формой культурного самовыражения, которая является частью учебной программы в [???] школах.","Funkcjonuje jako nośnik lokalnej historii i folkloru, a zatem jest cenioną kulturową formą ekspresji, która jest częścią programu nauczania w [???] szkołach.","Ён функцыянуе як сродак мясцовай гісторыі і фальклору і, такім чынам, з'яўляецца шанаванай культурнай формай выражэння, якая з'яўляецца часткай вучэбнай праграмы ў [???] школах.","Він функціонує як носій місцевої історії та фольклору, а тому є улюбленою культурною формою вираження, яка є частиною навчальної програми в [???] школах.","Той функционира като средство за местна история и фолклор и следователно е ценена културна форма на изразяване, която е част от учебната програма в [???] училищата.","Deluje kot medij lokalne zgodovine in folklore in je zato cenjena kulturna oblika izražanja, ki je del učnega načrta v [???] šolah.","Funguje jako médium místní historie a folklóru, a je proto ceněnou kulturní formou vyjádření, která je součástí učebních osnov [???] škol.","Funciona com a mitjà d'història i folklore local i, per tant, és una forma d'expressió cultural apreciada que forma part del currículum de les escoles [???].","Funciona como un medio de la historia y el folclore locales y, por lo tanto, es una forma de expresión cultural apreciada que forma parte del plan de estudios en las escuelas [???].",Yerel tarih ve folklor aracı olarak işlev görür ve bu nedenle [???] okullarında müfredatın bir parçası olan değer verilen bir kültürel ifade biçimidir.
The colony had its capital in [???].,Столица колонии находилась в [???].,Kolonia miała swoją stolicę w [???].,Сталіца калоніі была ў [???].,Столиця колонії була [???].,Столицата на колонията е през [???].,Kolonija je imela glavno mesto [???].,Kolonie měla hlavní město v [???].,La colònia tenia la seva capital a [???].,La colonia tenía su capital en [???].,Koloninin başkenti [???] idi.
"There were 4.668 million land telephone lines in use in [???] in 2007, a slight decrease on the 4.769 million in use in 1997.","В [???] в 2007 году использовалось 4,668 миллиона наземных телефонных линий, что немного меньше, чем 4,769 миллиона в использовании в 1997 году.","W 2007 roku w użyciu było 4,668 miliona naziemnych linii telefonicznych, co stanowi niewielki spadek w stosunku do 4,769 miliona używanych w 1997 roku.","У [???] у 2007 годзе выкарыстоўвалася 4,668 мільёна наземных тэлефонных ліній, што крыху менш, чым у 4,769 мільёна ў 1997 годзе.","У [???] у 2007 році використовувалося 4,668 мільйона стаціонарних телефонних ліній, що незначно зменшилося порівняно з 4,769 мільйона, використовуваних у 1997 році.","Имаше 4,668 милиона използвани наземни телефонни линии през [???] през 2007 г., леко намаление спрямо 4,769 милиона използвани през 1997 г.","Leta 2007 je bilo [???] v uporabi 4,668 milijona stacionarnih telefonskih linij, kar je rahlo zmanjšanje glede na 4,769 milijona v uporabi leta 1997.","V roce 2007 bylo v [???] používáno 4,668 milionu pozemních telefonních linek, což je mírný pokles oproti 4,769 milionu používaných v roce 1997.","Hi havia 4,668 milions de línies telefòniques terrestres en ús a [???] el 2007, una lleugera disminució respecte als 4,769 milions en ús el 1997.","Había 4.668 millones de líneas telefónicas terrestres en uso en [???] en 2007, una ligera disminución con respecto a los 4.769 millones en uso en 1997.","[???]'da 2007'de 4.668 milyon sabit telefon hattı kullanılıyordu, 1997'de kullanılan 4.769 milyona göre hafif bir düşüş."
"There were 61( 2003) internet service providers in [???], serving 5.22 million internet users in 2007.","В [???] насчитывался 61 (2003 г.) интернет-провайдер, обслуживающий 5,22 миллиона интернет-пользователей в 2007 г.","W [???] było 61 (2003) dostawców usług internetowych, obsługujących 5,22 miliona użytkowników internetu w 2007 roku.","У [???] быў 61 (2003) інтэрнэт-правайдэр, які абслугоўваў 5,22 мільёна інтэрнэт-карыстальнікаў у 2007 годзе.","У [???] був 61 (2003) інтернет-провайдер, який обслуговував 5,22 мільйона користувачів Інтернету в 2007 році.","Имаше 61 (2003) доставчици на интернет услуги в [???], обслужващи 5,22 милиона интернет потребители през 2007 г.","V [???] je bilo 61 (2003) ponudnikov internetnih storitev, ki so leta 2007 oskrbovali 5,22 milijona uporabnikov interneta.","V roce [???] bylo 61 (2003) poskytovatelů internetových služeb, kteří v roce 2007 sloužili 5,22 milionům uživatelů internetu.","Hi havia 61 (2003) proveïdors de serveis d'Internet a [???], donant servei a 5,22 milions d'usuaris d'Internet el 2007.","Había 61 (2003) proveedores de servicios de Internet en [???], que prestaban servicios a 5,22 millones de usuarios de Internet en 2007.",[???]'da 2007'de 5.22 milyon internet kullanıcısına hizmet veren 61 (2003) internet servis sağlayıcısı vardı.
"In September 2009 in [???] there were 3.048.260 single broadband internet customers( DSL and cable), of which 2.520.481 were residential users and 527.779 business users.","В сентябре 2009 года в [???] насчитывалось 3 048 260 клиентов широкополосного доступа в Интернет (DSL и кабель), из которых 2 520 481 были домашними пользователями и 527 779 бизнес-пользователями.","We wrześniu 2009 r. w [???] było 3 048 260 pojedynczych klientów szerokopasmowego Internetu (DSL i kablowy), z czego 2 520 481 to użytkownicy indywidualni, a 527 779 użytkownicy biznesowi.","У верасні 2009 г. у [???] налічвалася 3 048 260 асобных кліентаў шырокапалоснага доступу ў Інтэрнэт (DSL і кабель), з якіх 2 520 481 былі хатнімі карыстальнікамі і 527 779 бізнес-карыстальнікамі.","У вересні 2009 року в [???] було 3 048 260 окремих клієнтів широкосмугового доступу до Інтернету (DSL і кабель), з яких 2 520 481 були приватними користувачами та 527 779 бізнес-користувачами.","През септември 2009 г. в [???] имаше 3 048 260 единични клиенти на широколентов интернет (DSL и кабел), от които 2 520 481 бяха частни потребители и 527 779 бизнес потребители.","Septembra 2009 je bilo v [???] posameznih odjemalcev širokopasovnega interneta (DSL in kabel) 3.048.260, od tega 2.520.481 rezidenčnih uporabnikov in 527.779 poslovnih uporabnikov.","V září 2009 v [???] bylo 3 048 260 samostatných zákazníků širokopásmového internetu (DSL a kabel), z nichž 2 520 481 byli domácí uživatelé a 527 779 firemní uživatelé.","El setembre de 2009 a [???] hi havia 3.048.260 clients únics d'Internet de banda ampla (DSL i cable), dels quals 2.520.481 eren usuaris residencials i 527.779 usuaris empresarials.","En septiembre de 2009 en [???] había 3.048.260 clientes individuales de Internet de banda ancha (DSL y cable), de los cuales 2.520.481 eran usuarios residenciales y 527.779 usuarios comerciales.",Eylül 2009'da [???]'da 2.520.481'i konut kullanıcısı ve 527.779'u iş kullanıcısı olmak üzere 3.048.260 tek geniş bant internet müşterisi (DSL ve kablo) vardı.
"Commercial and transport activities, which make up a large part of GDP, are vulnerable to developments in [???], particularly fuel shortages.","Коммерческая и транспортная деятельность, которые составляют большую часть ВВП, уязвимы к событиям [???], особенно к нехватке топлива.","Działalność handlowa i transportowa, które stanowią dużą część PKB, są podatne na zmiany w [???], w szczególności na niedobory paliwa.","Камерцыйная і транспартная дзейнасць, якая складае значную частку ВУП, уразлівая да падзей у [???], асабліва да дэфіцыту паліва.","Комерційна та транспортна діяльність, яка становить значну частину ВВП, є вразливою до подій у [???], зокрема дефіциту палива.","Търговските и транспортните дейности, които съставляват голяма част от БВП, са уязвими от развитието на [???], особено от недостига на гориво.","Komercialne in prometne dejavnosti, ki predstavljajo velik del BDP, so občutljive na razvoj [???], zlasti na pomanjkanje goriva.","Obchodní a dopravní činnosti, které tvoří velkou část HDP, jsou citlivé na vývoj v [???], zejména na nedostatek pohonných hmot.","Les activitats comercials i de transport, que constitueixen una gran part del PIB, són vulnerables a l'evolució de [???], especialment a l'escassetat de combustible.","Las actividades comerciales y de transporte, que constituyen una gran parte del PIB, son vulnerables a la evolución de [???], en particular a la escasez de combustible.","GSYİH'nın büyük bir bölümünü oluşturan ticaret ve ulaşım faaliyetleri, [???]'daki gelişmelere, özellikle de yakıt kıtlığına karşı savunmasızdır."
