be,en,ru,tr
"Ён спрабаваў вярнуцца [???], дзе праводзіў большую частку часу ў гады, якія папярэднічалі сардэчнаму прыступу, але яго сям'я выступіла супраць, падаўшы ў суд хадайніцтва аб ажыццяўленні яго законнай апекі.","He tried to return to [???], where he had spent most of his time in the years leading up to the heart attack, but his family opposed, having filed a judicial petition to exercise his legal guardianship.","Он пытался вернуться [???], где провел большую часть своего времени в годы, предшествовавшие сердечному приступу, но его семья выступила против, подав в суд ходатайство об осуществлении его законной опеки.","Kalp krizinden önceki yıllarda zamanının çoğunu geçirdiği [???] geri dönmeye çalıştı, ancak ailesi, yasal vasiliğini kullanmak için adli bir dilekçe sunarak karşı çıktı."
Вясной 1943 года сям'я пераехала [???].,In spring 1943 the family moved to [???].,Весной 1943 года семья переехала [???].,1943 baharında aile [???] taşındı.
"Гулец бярэ на сябе ролю безназоўнага касмічнага пяхотніка, якога пакаралі [???] пасля нападу на свайго камандзіра, які загадаў свайму падраздзяленню страляць па мірных жыхарах.","The player takes the role of a nameless space marine who has been punitively posted to [???] after assaulting his commanding officer, who ordered his unit to fire upon civilians.","Игрок берет на себя роль безымянного космического десантника, которого в качестве наказания отправили [???] после нападения на его командира, который приказал своему подразделению стрелять по мирным жителям.","Oyuncu, birimine sivillere ateş açma emrini veren komutanına saldırdıktan sonra cezai bir şekilde [???] gönderilen isimsiz bir uzay denizcisi rolünü üstleniyor."
"Ён заканчваецца тым, што персанаж гульца ўваходзіць у тэлепорт, які вядзе [???], і заканчваецца тым, што яго завальваюць монстры, калі не забіваюць.","It ends with the player character entering the teleporter leading to [???], ending with him getting overwhelmed by monsters, if not killed.","Это заканчивается тем, что персонаж игрока входит в телепорт, ведущий [???], и заканчивается тем, что его захлестывают монстры, если не убивают.",Oyuncu karakterinin [???] giden ışınlayıcıya girmesiyle sona erer ve öldürülmezse canavarlar tarafından bunalmasıyla sona erer.
"Нягледзячы на ​​гэту дэманстрацыю сілы, [???] мігравала значна больш пасяленцаў, якія выступаюць за рабства, чым пасяленцаў, якія выступаюць за рабства.","Despite this show of force, far more free-soilers than pro-slavery settlers migrated to [???].","Несмотря на эту демонстрацию силы, [???] мигрировало гораздо больше сторонников свободной земли, чем поселенцев, выступающих за рабство.","Bu güç gösterisine rağmen, [???] kölelik yanlısı yerleşimcilerden çok daha fazla serbest toprak işçisi göç etti."
Мадыфікаваную лодку даставілі назад [???] у першы тыдзень лістапада 1966 года.,The modified boat was taken back to [???] in the first week of November 1966.,Модифицированную лодку доставили обратно [???] в первую неделю ноября 1966 года.,"Değiştirilen tekne, Kasım 1966'nın ilk haftasında [???] geri götürüldü."
Сям'я пераехала [???] неўзабаве пасля яго нараджэння.,The family moved to [???] shortly after his birth.,Семья переехала [???] вскоре после его рождения.,"Aile, onun doğumundan kısa bir süre sonra [???] taşındı."
"Калі экспедыцыя вярнулася [???] праз два дні, некаторыя з людзей былі вельмі расчараваныя тым, што ім не было чаго паказаць за намаганні і рызыкі, якія яны пайшлі на сябе.","When the expedition returned to [???] two days later, some of the men were greatly disappointed that they had nothing to show for the effort and risks they took.","Когда экспедиция вернулась [???] два дня спустя, некоторые из мужчин были очень разочарованы тем, что им нечего было показать за усилия и риск, на которые они пошли.","Sefer iki gün sonra [???] döndüğünde, adamlardan bazıları aldıkları çaba ve riskler için gösterecek hiçbir şeyleri olmadığı için büyük hayal kırıklığına uğradılar."
У 1938 годзе ён назаўсёды пераехаў [???].,"In 1938, he moved permanently to [???].",В 1938 году он навсегда переехал [???].,1938'de kalıcı olarak [???] taşındı.
Пасля вызвалення з турмы яны былі арыштаваныя - разам з сотнямі іншых - і дэпартаваныя [???].,"After their release from prison, they were arrested -- along with hundreds of others -- and deported to [???].",После освобождения из тюрьмы они были арестованы — вместе с сотнями других — и депортированы [???].,"Hapisten çıktıktan sonra, diğer yüzlerce kişiyle birlikte tutuklandılar ve [???] sınır dışı edildiler."
"Калі яму было чатыры гады, яго сям'я пераехала [???], яго бацька атрымаў прапанову працы перакладчыка ў сталіцы.","When he was four years old, his family moved to [???], his father, having been offered a translator's job in the capital.","Когда ему было четыре года, его семья переехала [???], его отцу предложили работу переводчика в столице.","Dört yaşındayken ailesi, başkentte tercümanlık işi teklif edilen babası [???] taşındı."
Ва ўзросце 18 гадоў ён адправіўся [???] на двухгадовую вайсковую службу.,At the age of 18 he went to [???] for his two-year term of military service.,В возрасте 18 лет он отправился [???] на двухлетний срок военной службы.,18 yaşında iki yıllık askerlik hizmeti için [???] gitti.
"Затым ён адправіўся [???], дзе яго сустрэлі больш цёпла.",Then he journeyed to [???] where he received a warmer welcome.,"Затем он отправился [???], где его встретили более тепло.",Daha sonra daha sıcak bir şekilde karşılandığı [???] gitti.
"Ён займаў гэтую пасаду на працягу пяці гадоў, з 1879 года, ездзячы [???] раз на тыдзень.","He held the post for five years, from 1879, travelling to [???] once a week.","Он занимал этот пост пять лет, с 1879 года, раз в неделю выезжая [???].",Görevi 1879'dan itibaren haftada bir [???] seyahat ederek beş yıl sürdürdü.
"Да яе расчаравання, ён зрабіў невялікі прагрэс і вярнуўся [???] без дазволу.","To her frustration, he made little progress and returned to [???] without permission.","К ее разочарованию, он не добился больших успехов и вернулся [???] без разрешения.","Hayal kırıklığına uğramasına rağmen, çok az ilerleme kaydetti ve izinsiz [???] döndü."
Яны пераехалі [???] у жніўні 1802 года.,They moved to [???] during August 1802.,Они переехали [???] в августе 1802 года.,Ağustos 1802'de [???] taşındılar.
Ён ніколі не павінен быў вярнуцца [???].,He was never to return to [???].,Он никогда не должен был вернуться [???].,[???] asla geri dönmeyecekti.
"4 чэрвеня пачалося перамір'е, якое дазволіла кампаніі вярнуцца [???].","On 4 June an armistice began, which allowed the company to return to [???].","4 июня началось перемирие, позволившее компании вернуться [???].","4 Haziran'da, şirketin [???] dönmesine izin veren bir ateşkes başladı."
"Пасля доўгага перыяду беспарадкаў горад здаўся 11 лістапада, а 9 снежня кампанія накіравалася [???].","After a long period of continued disturbance the town surrendered on 11 November, and on 9 December the company travelled to [???].","После длительного периода непрекращающихся беспорядков город сдался 11 ноября, а 9 декабря рота отправилась [???].",Uzun bir süre devam eden kargaşanın ardından kasaba 11 Kasım'da teslim oldu ve 9 Aralık'ta şirket [???] gitti.
Пара пераехала [???].,The couple moved to [???].,Пара переехала [???].,Çift [???] taşındı.
"Яго карабель быў новым эсмінцам, які ён павінен быў адплыць [???] і абмяняць на больш стары карабель.",His ship was a new destroyer which he was to sail to [???] and exchange for an older ship.,"Его корабль был новым эсминцем, который он должен был отплыть [???] и обменять на более старый корабль.","Gemisi, [???] yelken açacağı ve daha eski bir gemiyle değiştireceği yeni bir muhripti."
Сям'я пераехала ў 1902 годзе [???].,The family moved in 1902 to [???].,Семья переехала в 1902 году [???].,Aile 1902'de [???] taşındı.
Кінакар'ера Вуда пачалася пасля пераезду [???] у 1947 годзе.,Wood's film career began after moving to [???] in 1947.,Кинокарьера Вуда началась после переезда [???] в 1947 году.,Wood'un sinema kariyeri 1947'de [???] taşındıktan sonra başladı.
"Нягледзячы на ​​тое, што сад яшчэ не быў скончаны, яго астанкі былі падрыхтаваны і адпраўлены [???], дзе яны чакалі ў сховішчы неўстаноўлены час, перш чым быць пахаваным у мемарыяльнай зоне.","Although the garden had yet to be finished, his remains were prepared and sent to [???] where they waited in storage for an unidentified amount of time before being interred in the memorial area.","Хотя сад еще не был закончен, его останки были подготовлены и отправлены [???], где они пролежали в хранилище в течение неопределенного времени, прежде чем были захоронены в мемориальной зоне.","Bahçe henüz bitmemiş olmasına rağmen, kalıntıları hazırlandı ve anma alanına defnedilmeden önce kimliği belirsiz bir süre depoda bekledikleri [???] gönderildi."
Многія зборныя дамы тут былі перавезены [???].,Many of the pre-fabricated houses here were moved to [???].,Многие из сборных домов здесь были перенесены [???].,Buradaki prefabrik evlerin çoğu [???] taşındı.
"Пазней школа-інтэрнат была пераведзена [???], хаця ў апошні час акцэнт рабіўся на мясцовым навучанні.","The boarding school was later transferred to [???], although the recent emphasis has been on locally based education.","Позже школа-интернат была переведена [???], хотя в последнее время упор делался на местное образование.","Yatılı okul daha sonra [???] transfer edildi, ancak son zamanlarda yerel temelli eğitime ağırlık verildi."
"У суправаджэнні аднаго з згоншчыкаў 1966 года ён прыляцеў [???], але па прыбыцці выявіў, што не можа прызямліцца на іпадроме з-за перашкод, якія ўзніклі пасля згону.",Accompanied by one of the 1966 hijackers he flew to [???] but on arrival found he could not land at the racecourse due to obstacles placed following the hijacking.,"В сопровождении одного из угонщиков 1966 года он вылетел [???], но по прибытии обнаружил, что не может приземлиться на ипподроме из-за препятствий, возникших после угона.","1966 korsanlarından birinin eşliğinde [???] uçtu, ancak vardığında uçak kaçırma olayının ardından yerleştirilen engeller nedeniyle hipodroma inemediğini gördü."
На гэтым этапе астатнія новыя таленты пераехалі [???].,By this stage the rest of the new talent had moved on to [???].,К этому моменту остальные новые таланты перебрались [???].,"Bu aşamada, yeni yeteneklerin geri kalanı [???] taşınmıştı."
Ён вярнуўся [???] у студзені 1548 года.,He returned to [???] in January 1548.,Он вернулся [???] в январе 1548 года.,Ocak 1548'de [???] döndü.
"Ён вярнуўся [???] у сакавіку 1551 г., дзе даймё правінцыі дазволіў яму прапаведаваць.","He returned to [???] in March, 1551, where he was permitted to preach by the daimyo of the province.","Он вернулся [???] в марте 1551 года, где ему разрешили проповедовать даймё провинции.",Eyaletin daimyo'su tarafından vaaz vermesine izin verildiği Mart 1551'de [???] döndü.
Затым ён вырашыў вярнуцца [???].,He then decided to return to [???].,Затем он решил вернуться [???].,Daha sonra [???] dönmeye karar verdi.
Затым ён вярнуўся [???].,He then returned to [???].,Затем он вернулся [???].,Daha sonra [???] döndü.
"Ён сам пачаў сваю кар'еру муляром і неўзабаве пераехаў [???], каб вывучаць і займацца гэтай дзейнасцю.","He began his career as a stone mason himself, and soon moved to [???] to study and practice this activity.","Он сам начал свою карьеру каменщика и вскоре переехал [???], чтобы изучать и практиковать эту деятельность.",Kariyerine kendisi de bir taş ustası olarak başladı ve kısa süre sonra bu faaliyeti incelemek ve uygulamak için [???] taşındı.
Яна папрасіла ўсе офісы на месцах збіраць інфармацыю аб бандытах на іх тэрыторыях і рэгулярна паведамляць пра гэта [???] для цэнтралізаванага збору разведданых аб рэкецірах.,It asked all field offices to gather information on mobsters in their territories and to report it regularly to [???] for a centralized collection of intelligence on racketeers.,Он попросил все полевые отделения собирать информацию о мафиози на их территориях и регулярно сообщать об этом [???] для централизованного сбора разведывательных данных о вымогателях.,Tüm saha ofislerinden kendi bölgelerindeki gangsterler hakkında bilgi toplamalarını ve haraççılar hakkında merkezi bir istihbarat toplaması için bunu [???] düzenli olarak rapor etmelerini istedi.
"Яго і яго сям'ю вярнулі [???] пад аховай, усё яшчэ апрануўшы слуг.","He and his family were brought back to [???] under guard, still dressed as servants.","Он и его семья были доставлены обратно [???] под охраной, все еще одетые как слуги.","O ve ailesi, hala hizmetçi gibi giyinmiş halde, gözetim altında [???] geri getirildi."
"Дзіўнае бачанне прымусіла яго вярнуцца [???], паглыбіўшы яго царкоўнае абуджэнне.","A strange vision made him return to [???], deepening his ecclesiastical awakening.","Странное видение заставило его вернуться [???], углубив его церковное пробуждение.","Garip bir vizyon, onun dini uyanışını derinleştirerek [???] dönmesini sağladı."
"Затым яны пераправяцца [???], дзе знойдуць карабель, каб даставіць іх дадому.",They would then cross to [???] where they would find a ship to take them home.,"Затем они переправятся [???], где найдут корабль, который доставит их домой.",Daha sonra onları eve götürecek bir gemi bulacakları [???] geçeceklerdi.
"Калі ён быў накіраваны [???] у якасці афіцэра падраздзялення, ён адказваў за бяспеку каля 200 000 чалавек.","When he was posted to [???] as a sub-divisional officer, he was responsible for the security of some 200,000 people.","Когда его отправили [???] в качестве офицера подразделения, он отвечал за безопасность около 200 000 человек.","Alt tümen görevlisi olarak [???] gönderildiğinde, yaklaşık 200.000 kişinin güvenliğinden sorumluydu."
"У красавіку 1926 года ён пераехаў [???], дзе жыла яго бабуля.","In April 1926 he moved to [???], where his grandmother lived.","В апреле 1926 года он переехал [???], где жила его бабушка.",Nisan 1926'da büyükannesinin yaşadığı [???] taşındı.
"Калі ён быў дэмабілізаваны ў студзені 1934 года, ён вярнуўся [???], каб паправіцца, і пры падтрымцы бацькоў больш ніколі не вяртаўся да выкладання.","When he was discharged in January 1934, he returned to [???] to convalesce and, supported by his parents, never returned to teaching.","Когда его выписали в январе 1934 года, он вернулся [???], чтобы выздороветь, и при поддержке своих родителей больше никогда не возвращался к преподаванию.","Ocak 1934'te taburcu edildiğinde, iyileşmek için [???] döndü ve ailesinin desteğiyle bir daha öğretmenliğe geri dönmedi."
Затым падраздзяленне было накіравана [???].,The unit was then sent on to [???].,Затем подразделение было отправлено [???].,Birim daha sonra [???] gönderildi.
"У 1982 годзе ён вярнуўся [???], але праз год, ва ўзросце 18 гадоў, ён быў гатовы зрабіць крок да лепшай каманды.","In 1982 he returned to [???], but one year later, aged 18, he was prepared to make the step to a top team.","В 1982 году он вернулся [???], но год спустя, в возрасте 18 лет, он был готов сделать шаг в топ-команду.","1982'de [???] döndü, ancak bir yıl sonra, 18 yaşında, en iyi takıma adım atmaya hazırdı."
Лепшыя - самыя трывалыя - былі адпраўлены [???].,The best -- the most robust -- were sent to [???].,Лучшие — самые крепкие — были отправлены [???].,En iyileri - en sağlamları - [???] gönderildi.
"Вось чаму ён едзе [???], але па дарозе яго падманваюць багі, і ён трапляе ў іншае месца, дзе знаходзіць вялікі палац.","This is why he journeys to [???], but on the way he is tricked by the gods and arrives in some other place, where he finds a great palace.","Вот почему он отправляется [???], но по пути его обманывают боги, и он попадает в какое-то другое место, где находит большой дворец.","Bu nedenle [???] seyahat eder, ancak yolda tanrılar tarafından kandırılır ve başka bir yere varır ve orada büyük bir saray bulur."
"Сярод варожых дэманстрацый яго перавезлі [???], прыкладна за пяцьдзесят кіламетраў, і там пахавалі.","Amidst hostile demonstrations he was carried to [???], some fifty kilometers away, and buried there.","Среди враждебных демонстраций его отвезли [???], примерно в пятидесяти километрах, и похоронили там.","Düşmanca gösterilerin ortasında, yaklaşık elli kilometre uzaklıktaki [???] götürüldü ve orada gömüldü."
"Людзі сцякаліся [???] не толькі з непасрэднай блізкасці, але і з усёй правінцыі, так што горад быў набіты.","People would flock to [???] not just from the immediate vicinity but from all over the province, so that the town was packed.","Люди стекались [???] не только из ближайших окрестностей, но и со всей провинции, так что город был битком набит.","Sadece yakın çevreden değil, eyaletin her yerinden insanlar [???] akın ederdi, böylece kasaba tıklım tıklımdı."
"Ён жыў там да 1921 года, калі забруджванне, выкліканае тарфянымі работамі на возеры, прымусіла яго пераехаць [???], за некалькі кіламетраў на поўнач.","He lived there until 1921 when pollution produced by peat works on the lake forced him to move to [???], a few kilometres north.","Он жил там до 1921 года, когда загрязнение, вызванное торфяными работами на озере, вынудило его переехать [???], в нескольких километрах к северу.",1921'de göldeki turba işlerinin yarattığı kirliliğin onu birkaç kilometre kuzeydeki [???] taşınmaya zorladığı zamana kadar orada yaşadı.
У 1938 годзе ён адплыў [???].,In 1938 he sailed to [???].,В 1938 году он отплыл [???].,1938'de [???] yelken açtı.
Чацвёрты раўнд вярнуўся [???] у 1955 годзе і працягваўся да мая 1956 года.,The fourth round returned to [???] in 1955 and lasted until May 1956.,Четвертый раунд вернулся [???] в 1955 году и продлился до мая 1956 года.,Dördüncü tur 1955'te [???] döndü ve Mayıs 1956'ya kadar sürdü.
Пазней ён вярнуўся [???].,He later then returned to [???].,Позже он вернулся [???].,Daha sonra [???] döndü.
Пасля выключэння ён пераехаў [???].,"Following his expulsion, he moved to [???].",После изгнания он переехал [???].,Sınır dışı edilmesinin ardından [???] taşındı.
"Вярнуўшыся [???], ён застаўся на поўдні, каб паспрабаваць спыніць спрэчку.","Returning to [???], he stayed in the south in order to try to end the dispute.","Вернувшись [???], он остался на юге, чтобы попытаться положить конец спору.",[???] dönerek anlaşmazlığı sona erdirmek için güneyde kaldı.
Венгрыя з'яўляецца другім па велічыні сусветным вытворцам і найбуйнейшым экспарцёрам фуа-гра (экспарт у асноўным [???]).,Hungary is the second largest world producer and the biggest exporter of foie gras( exporting mainly to [???]).,Венгрия является вторым по величине производителем и крупнейшим экспортером фуа-гра в мире (в основном экспортируется [???]).,"Macaristan, dünyanın en büyük ikinci üreticisi ve en büyük kaz ciğeri ihracatçısıdır (esas olarak [???] ihracat yapmaktadır)."
Яго штаб таксама быў вымушаны адступіць [???].,His headquarters was also forced to retreat to [???].,Его штаб также был вынужден отступить [???].,Karargahı da [???] çekilmek zorunda kaldı.
У 1953 годзе ён пераехаў [???] для навуковай працы.,In 1953 he moved on to [???] to work scientifically.,В 1953 году он переехал [???] для научной работы.,1953'te bilimsel olarak çalışmak için [???] taşındı.
"Яны пажаніліся ў 1924 годзе, і пара пераехала [???].","They married in 1924, and the couple moved to [???].","Они поженились в 1924 году, и пара переехала [???].",1924'te evlendiler ve çift [???] taşındı.
"Ён вярнуўся [???], каб жыць са сваімі цёткамі на працягу іх астатніх гадоў.",He returned to [???] to live with his aunts during their remaining years.,"Он вернулся [???], чтобы жить со своими тетями в оставшиеся годы.",Geri kalan yıllarında teyzelerinin yanında yaşamak için [???] döndü.
У 14 гадоў ён пераехаў [???] у пошуках працы акцёрам.,"At 14, he moved to [???] to seek employment as an actor.","В 14 лет он переехал [???], чтобы найти работу в качестве актера.",14 yaşında aktör olarak iş aramak için [???] taşındı.
Ён уцёк назад [???].,He fled back to [???].,Он сбежал обратно [???].,[???] geri kaçtı.
"Ён ніколі не вярнуўся [???], хоць пазней ён стаў калоніяй у яго гонар.",He never returned to [???] although it was later made a colonia in his honour.,"Он так и не вернулся [???], хотя позже он стал колонией в его честь.",Daha sonra onun onuruna bir koloni yapılmasına rağmen [???] asla geri dönmedi.
"У 1950 годзе наяўнасць кандыцыянераў стала штуршком для многіх кампаній да пераезду [???], што прывяло да эканамічнага буму і выклікала ключавы зрух у эканоміцы горада ў бок энергетычнага сектара.","In 1950, the availability of air conditioning provided impetus for many companies to relocate to [???] resulting in an economic boom and producing a key shift in the city's economy toward the energy sector.","В 1950 году наличие кондиционеров побудило многие компании переехать [???], что привело к экономическому буму и ключевому сдвигу в экономике города в сторону энергетического сектора.","1950'de klimanın mevcudiyeti, birçok şirketin [???] taşınması için itici güç sağladı, bu da ekonomik bir patlamaya neden oldu ve şehrin ekonomisinde enerji sektörüne doğru önemli bir kayma yarattı."
"Нямецкія войскі адступілі 12 кастрычніка 1944 г., і ўрад у выгнанні вярнуўся [???].","German forces withdrew on October 12, 1944, and the government in exile returned to [???].","Немецкие войска ушли 12 октября 1944 года, и правительство в изгнании вернулось [???].",Alman kuvvetleri 12 Ekim 1944'te çekildi ve sürgündeki hükümet [???] döndü.
"Аднак пасля завяршэння спектакля яна паехала [???], але настаяла на працягу кар'еры (яна ўсё яшчэ была большай зоркай, чым ён), і яны вырашылі развесціся ў 1937 годзе.","After the play closed, however, she went to [???], but insisted on continuing her career( she was still a bigger star than he was), and they decided to divorce in 1937.","Однако после закрытия спектакля она уехала [???], но настояла на продолжении своей карьеры (она все еще была большей звездой, чем он), и в 1937 году они решили развестись.","Ancak oyun kapandıktan sonra [???] gitti, ancak kariyerine devam etmekte ısrar etti (hala ondan daha büyük bir yıldızdı) ve 1937'de boşanmaya karar verdiler."
"Ён і яго браты хутка адступілі назад [???], прыніжаныя і здзекваліся па дарозе з боку сялян і вяскоўцаў.","He and his brothers quickly retreated back to [???], humiliated and mocked along the way by peasants and villagers.","Он и его братья быстро отступили обратно [???], по пути униженные и высмеянные крестьянами и сельскими жителями.",Yol boyunca köylüler ve köylüler tarafından aşağılanıp alay edilen o ve erkek kardeşleri hızla [???] geri çekildiler.
Ён вярнуўся [???] у 1517 годзе і памёр як член гарадской рады ў 1545 годзе.,"He returned to [???] in 1517, and died as a member of the town council in 1545.",Он вернулся [???] в 1517 году и умер как член городского совета в 1545 году.,1517'de [???] döndü ve 1545'te belediye meclisi üyesi olarak öldü.
Затым ён вярнуўся [???] і стаў настаўнікам.,He then returned to [???] and became a teacher.,Затем он вернулся [???] и стал учителем.,Daha sonra [???] döndü ve öğretmen oldu.
У 1865 годзе сталіца была перанесена [???].,In 1865 the capital was moved to [???].,В 1865 году столица была перенесена [???].,1865'te başkent [???] taşındı.
"У канцы 2004 і пачатку 2005 года рэгулярныя дыверсіі на заводах і трубаправодах скарацілі экспарт і ўнутраны размеркаванне нафты, асабліва [???].","In late 2004 and early 2005, regular sabotage of plants and pipelines reduced export and domestic distribution of oil, particularly to [???].","В конце 2004 г. и начале 2005 г. регулярный саботаж заводов и трубопроводов привел к сокращению экспорта и внутреннего распределения нефти, особенно [???].","2004'ün sonlarında ve 2005'in başlarında, tesislere ve boru hatlarına yönelik düzenli sabotajlar, özellikle [???] petrol ihracatını ve yurtiçi dağıtımını azalttı."
"Прыблізна 10 мільёнаў бежанцаў збеглі [???], выклікаючы фінансавыя цяжкасці і нестабільнасць у краіне.","An estimated 10 million refugees fled to [???], causing financial hardship and instability in the country.","По оценкам, 10 миллионов беженцев бежали [???], что привело к финансовым трудностям и нестабильности в стране.",Tahminen 10 milyon mülteci [???] kaçtı ve ülkede mali sıkıntıya ve istikrarsızlığa neden oldu.
"Пазней некалькі з гэтых бежанцаў вярнуліся [???], заявіўшы, што яны «расчараваліся» ў групе.","Later, several of these refugees returned to [???], saying they were"" disillusioned"" with the group.","Позже несколько из этих беженцев вернулись [???], заявив, что они «разочаровались» в группе.","Daha sonra bu mültecilerden birkaçı, grupla ilgili ""hayal kırıklığına uğradıklarını"" söyleyerek [???] döndü."
