be,bg,ca,cs,en,es,pl,ru,sl,tr,uk
Іншыя засталіся [???] і таксама стварылі баявыя групы.,Други останаха [???] и също сформираха бойни групи.,Altres van romandre [???] i també van formar grups de lluita.,Ostatní zůstali [???] a také vytvořili bojové skupiny.,Others remained [???] and also formed fighting groups.,Otros se quedaron [???] y también formaron grupos de lucha.,Inni pozostali [???] i również utworzyli grupy bojowe.,Остальные остались [???] и тоже сформировали боевые группы.,Drugi so ostali [???] in prav tako oblikovali bojne skupine.,Diğerleri [???] olarak kaldı ve ayrıca savaş grupları oluşturdu.,Інші залишилися [???] і також створили бойові групи.
У рэшце рэшт ён памёр [???] у 1996 годзе.,В крайна сметка той почина [???] през 1996 г.,Finalment va morir [???] el 1996.,Nakonec zemřel [???] v roce 1996.,He eventually died [???] in 1996.,Finalmente murió [???] en 1996.,W końcu zmarł [???] w 1996 roku.,В конце концов он умер [???] в 1996 году.,Končno je umrl [???] leta 1996.,Sonunda 1996'da [???] öldü.,Зрештою він помер [???] у 1996 році.
"Агульная колькасць смерцяў ва ўсім свеце ацэньваецца ў 75 мільёнаў чалавек, з іх прыблізна 25-50 мільёнаў [???].","Общият брой на смъртните случаи по света се оценява на 75 милиона души, приблизително 25 - 50 милиона от които са настъпили [???].","El nombre total de morts a tot el món s'estima en 75 milions de persones, aproximadament entre 25 i 50 milions de les quals es van produir [???].","Celkový počet úmrtí na celém světě se odhaduje na 75 milionů lidí, z nichž přibližně 25 -- 50 milionů se stalo [???].","The total number of deaths worldwide is estimated at 75 million people, approximately 25 -- 50 million of which occurred [???].","El número total de muertes en todo el mundo se estima en 75 millones de personas, de las cuales aproximadamente 25 a 50 millones ocurrieron [???].","Całkowitą liczbę zgonów na całym świecie szacuje się na 75 milionów ludzi, z czego około 25-50 milionów miało miejsce [???].","Общее число умерших во всем мире оценивается в 75 миллионов человек, примерно 25-50 миллионов из которых произошли [???].","Skupno število smrti po vsem svetu je ocenjeno na 75 milijonov ljudi, od tega približno 25 do 50 milijonov [???].",Dünya çapındaki toplam ölüm sayısının 75 milyon olduğu tahmin ediliyor ve bunların yaklaşık 25-50 milyonu [???] meydana geldi.,"Загальна кількість смертей у всьому світі оцінюється в 75 мільйонів людей, приблизно 25-50 мільйонів з яких сталися [???]."
"Да 1350 г. існавала каля 170 000 паселішчаў [???], і да 1450 г. іх колькасць скарацілася амаль на 40 000.",Преди 1350 г. е имало около 170 000 селища [???] и това е било намалено с близо 40 000 до 1450 г.,"Abans del 1350, hi havia uns 170.000 assentaments [???], i aquest s'havia reduït en gairebé 40.000 el 1450.","Před rokem 1350 existovalo asi 170 000 osad [???], a to se do roku 1450 snížilo o téměř 40 000.","Before 1350, there were about 170,000 settlements [???], and this had been reduced by nearly 40,000 by 1450.","Antes de 1350, había alrededor de 170 000 asentamientos [???], y esto se había reducido en casi 40 000 para 1450.","Przed 1350 r. istniało około 170 000 osad [???], a do 1450 r. liczba ta zmniejszyła się o prawie 40 000.","До 1350 г. было около 170 000 поселений [???], а к 1450 г. их число сократилось почти на 40 000.","Pred letom 1350 je bilo okoli 170.000 naselij [???], to pa se je do leta 1450 zmanjšalo za skoraj 40.000.","1350'den önce, yaklaşık 170.000 yerleşim yeri [???] vardı ve bu, 1450'de yaklaşık 40.000 azaltılmıştı.","До 1350 року було близько 170 000 поселень [???], і до 1450 року їх кількість скоротилася майже на 40 000."
"У 1466 г. ад чумы памерла, магчыма, 40 000 чалавек [???].",През 1466 г. може би 40 000 души са умрели от чума [???].,"El 1466, potser 40.000 persones van morir de pesta [???].",V roce 1466 zemřelo snad 40 000 lidí na mor [???].,"In 1466, perhaps 40,000 people died of plague [???].","En 1466, tal vez 40.000 personas murieron de peste [???].",W 1466 r. na dżumę zmarło może 40 tys. ludzi [???].,В 1466 г. от чумы умерло около 40 000 человек [???].,Leta 1466 je morda 40.000 ljudi umrlo zaradi kuge [???].,1466'da belki 40.000 kişi vebadan öldü [???].,"У 1466 році, можливо, 40 000 людей померли від чуми [???]."
У 1570 г. магло загінуць да 200 000 [???] і ў прылеглых раёнах.,През 1570 г. може би около 200 000 са загинали [???] и в съседния квартал.,"El 1570, fins a 200.000 podrien haver mort [???] i al barri adjacent.",V roce 1570 mohlo zemřít až 200 000 [???] a v přilehlé čtvrti.,"In 1570, as many as 200,000 may have died [???] and in the adjacent neighborhood.","En 1570, pueden haber muerto hasta 200.000 [???] y en el vecindario adyacente.",W 1570 r. mogło zginąć aż 200 tys. [???] iw sąsiedniej okolicy.,В 1570 году могло погибнуть до 200 000 человек [???] и в прилегающих районах.,Leta 1570 je morda umrlo kar 200.000 [???] in v sosednji okolici.,"1570 yılında, komşu mahallede [???] 200.000 kadar insan ölmüş olabilir.","У 1570 році, можливо, загинуло 200 000 [???] і в прилеглих районах."
Паміж 1361 і 1528 гадамі было дваццаць дзве ўспышкі чумы [???].,Имаше двадесет и две огнища на чума [???] между 1361 и 1528 г.,Hi va haver vint-i-dos brots de pesta [???] entre 1361 i 1528.,Mezi lety 1361 a 1528 došlo k dvaadvaceti ohniskům moru [???].,There were twenty-two outbreaks of plague [???] between 1361 and 1528.,Hubo veintidós brotes de peste [???] entre 1361 y 1528.,W latach 1361-1528 miały miejsce dwadzieścia dwie epidemie dżumy [???].,Между 1361 и 1528 годами было двадцать две вспышки чумы [???].,Med letoma 1361 in 1528 je prišlo do dvaindvajsetih izbruhov kuge [???].,1361 ile 1528 arasında yirmi iki veba [???] salgını oldu.,Було двадцять два спалахи чуми [???] між 1361 і 1528 роками.
"Чума 1576-1577 гадоў забіла 50 000 [???], амаль траціну насельніцтва.","Чумата от 1576-1577 г. убива 50 000 [???], почти една трета от населението.","La pesta de 1576-1577 va matar 50.000 [???], gairebé un terç de la població.","Mor v letech 1576-1577 zabil 50 000 [???], téměř třetinu populace.","The plague of 1576-1577 killed 50,000 [???], almost a third of the population.","La peste de 1576-1577 mató a 50.000 [???], casi un tercio de la población.","Zaraza z lat 1576-1577 zabiła 50 000 [???], czyli prawie jedną trzecią populacji.","Чума 1576-1577 гг. убила 50 000 [???], почти треть населения.","Kuga 1576-1577 je pomorila 50.000 [???], skoraj tretjino prebivalstva.","1576-1577 vebası 50.000 [???], yani nüfusun neredeyse üçte birini öldürdü.","Чума 1576-1577 рр. вбила 50 000 [???], майже третину населення."
"У першай палове XVII стагоддзя чума забрала каля 1 730 000 ахвяр [???], або каля 14% насельніцтва.","През първата половина на 17 век чумата взема около 1 730 000 жертви [???], или около 14% от населението.","A la primera meitat del segle XVII una plaga va causar unes 1.730.000 víctimes [???], o al voltant del 14% de la població.","V první polovině 17. století si mor vyžádal asi 1 730 000 obětí [???], tedy asi 14 % populace.","In the first half of the 17th century a plague claimed some 1,730,000 victims [???], or about 14% of the population.","En la primera mitad del siglo XVII una plaga se cobró unas 1.730.000 víctimas [???], o alrededor del 14% de la población.","W pierwszej połowie XVII wieku zaraza pochłonęła około 1 730 000 ofiar [???], czyli około 14% ludności.","В первой половине XVII века чума унесла около 1 730 000 жертв [???], или около 14% населения.",V prvi polovici 17. stoletja je kuga terjala kakih 1.730.000 žrtev [???] ali približno 14 % prebivalstva.,"17. yüzyılın ilk yarısında bir veba yaklaşık 1.730.000 kişinin [???], yani nüfusun yaklaşık %14'ünün hayatını kaybetti.","У першій половині XVII століття чума забрала близько 1 730 000 жертв [???], або близько 14% населення."
"30 000 -- 50 000 памерла [???] у 1620 -- 21, 1654 -- 57, 1665, 1691 і 1740 -- 42 гг.","30 000 - 50 000 умират [???] през 1620 - 21, 1654 - 57, 1665, 1691 и 1740 - 42.","30.000 -- 50.000 van morir [???] el 1620 -- 21, 1654 -- 57, 1665, 1691 i 1740 -- 42.","30 000 – 50 000 zemřelo [???] v letech 1620 – 21, 1654 – 57, 1665, 1691 a 1740 – 42.","30,000 -- 50,000 died [???] in 1620 -- 21, 1654 -- 57, 1665, 1691, and 1740 -- 42.","30.000 -- 50.000 murieron [???] en 1620 -- 21, 1654 -- 57, 1665, 1691 y 1740 -- 42.","30 000 -- 50 000 zmarło [???] w 1620 -- 21, 1654 -- 57, 1665, 1691 i 1740 -- 42.","30 000 -- 50 000 умерло [???] в 1620 -- 21, 1654 -- 57, 1665, 1691 и 1740 -- 42.","30.000 - 50.000 jih je umrlo [???] v letih 1620 - 21, 1654 - 57, 1665, 1691 in 1740 - 42.","30.000 -- 50.000 öldü [???] 1620 -- 21, 1654 -- 57, 1665, 1691 ve 1740 -- 42.","30 000 -- 50 000 померло [???] у 1620 -- 21, 1654 -- 57, 1665, 1691 і 1740 -- 42 роках."
Чума заставалася галоўнай падзеяй [???] грамадства да другой чвэрці 19 стагоддзя.,Чумата остава основно събитие [???] в обществото до втората четвърт на 19 век.,La pesta va ser un esdeveniment important [???] de la societat fins al segon quart del segle XIX.,Mor zůstal hlavní událostí [???] společnosti až do druhé čtvrtiny 19. století.,Plague remained a major event [???] society until the second quarter of the 19th century.,La peste siguió siendo un evento importante [???] de la sociedad hasta el segundo cuarto del siglo XIX.,Dżuma pozostawała ważnym wydarzeniem [???] społeczeństwa aż do drugiej ćwierci XIX wieku.,Чума оставалась крупным явлением [???] общества до второй четверти 19 века.,Kuga je ostala pomemben dogodek [???] družbe do druge četrtine 19. stoletja.,"Veba, 19. yüzyılın ikinci çeyreğine kadar toplumda [???] önemli bir olay olarak kaldı.",Чума залишалася головною подією [???] суспільства до другої чверті 19 століття.
"Паміж 1701 і 1750 гадамі было зафіксавана 37 больш буйных і меншых эпідэмій чумы [???], і 31 — паміж 1751 і 1800 гадамі.",Между 1701 и 1750 г. са регистрирани 37 по-големи и по-малки епидемии от чума [???] и 31 между 1751 и 1800 г.,"Entre 1701 i 1750, es van registrar 37 epidèmies de pesta més grans i més petites [???], i 31 entre 1751 i 1800.",V letech 1701 až 1750 bylo zaznamenáno 37 větších a menších morových epidemií [???] a v letech 1751 až 1800 31.,"Between 1701 and 1750, 37 larger and smaller plague epidemics were recorded [???], and 31 between 1751 and 1800.","Entre 1701 y 1750 se registraron 37 epidemias de peste mayores y menores [???], y 31 entre 1751 y 1800.","W latach 1701-1750 odnotowano 37 większych i mniejszych epidemii dżumy [???], a w latach 1751-1800 31.","Между 1701 и 1750 годами было зарегистрировано 37 больших и малых эпидемий чумы [???], а между 1751 и 1800 годами — 31.","Med letoma 1701 in 1750 je bilo zabeleženih 37 večjih in manjših epidemij kuge [???], med letoma 1751 in 1800 pa 31.","1701 ile 1750 arasında, daha büyük ve daha küçük 37 ve 1751 ile 1800 arasında 31 veba salgını kaydedildi [???]","Між 1701 і 1750 роками було зареєстровано 37 великих і менших епідемій чуми [???], а між 1751 і 1800 роками — 31."
"Здольнасць супрацьстаяць многім антыбіётыкам, якія выкарыстоўваюцца супраць чумы, была выяўлена да гэтага часу толькі ў адным выпадку захворвання [???].","Способността да се противопоставят на много от антибиотиците, използвани срещу чумата, е открита досега само в един случай на болестта [???].",La capacitat de resistir molts dels antibiòtics utilitzats contra la pesta s'ha trobat fins ara en només un cas de la malaltia [???].,Schopnost odolat mnoha antibiotikům používaným proti moru byla dosud zjištěna pouze v jediném případě onemocnění [???].,The ability to resist many of the antibiotics used against plague has been found so far in only a single case of the disease [???].,La capacidad de resistir a muchos de los antibióticos utilizados contra la peste se ha encontrado hasta ahora en un solo caso de la enfermedad [???].,Zdolność do opierania się wielu antybiotykom stosowanym przeciwko dżumie stwierdzono dotychczas tylko w jednym przypadku choroby [???].,"Способность противостоять многим антибиотикам, применяемым против чумы, обнаружена пока только в одном случае заболевания [???].","Sposobnost odpornosti proti številnim antibiotikom, ki se uporabljajo proti kugi, je bila doslej ugotovljena le pri enem samem primeru bolezni [???].","Vebaya karşı kullanılan birçok antibiyotiğe karşı direnç yeteneği, şimdiye kadar sadece tek bir hastalık vakasında bulunmuştur [???].","Здатність протистояти багатьом антибіотикам, що використовуються проти чуми, була виявлена ​​поки що лише в одному випадку захворювання [???]."
Існуюць доказы выжывання бонга [???].,"Съществуват доказателства, че бонго е оцелял [???].",Hi ha proves de la supervivència del bongo [???].,"Existují důkazy, že bongo přežilo [???].",Evidence exists of bongo surviving [???].,Existe evidencia de que el bongo sobrevivió [???].,"Istnieją dowody na to, że bongo przetrwało [???].","Существуют доказательства того, что бонго сохранилось [???].","Obstajajo dokazi, da je bongo preživel [???].",Bongo'nun hayatta kaldığına dair kanıtlar var [???].,"Існують докази того, що бонго вижив [???]."
"Выжыванне ўсходняга/горнага бонга ў дзікай прыродзе залежыць ад больш эфектыўнай абароны папуляцый, якія засталіся ў жывых [???].",Оцеляването на източното/планинско бонго в дивата природа зависи от по-ефективната защита на оцелелите остатъчни популации [???].,La supervivència del bongo oriental/muntanya en estat salvatge depèn d'una protecció més eficaç de les poblacions restants supervivents [???].,Přežití bonga východního/horského ve volné přírodě je závislé na účinnější ochraně přeživších zbytkových populací [???].,The eastern/mountain bongo's survival in the wild is dependent on more effective protection of the surviving remnant populations [???].,La supervivencia del bongo oriental/de montaña en la naturaleza depende de una protección más efectiva de las poblaciones remanentes sobrevivientes [???].,Przetrwanie wschodniego/górskiego bongo na wolności zależy od skuteczniejszej ochrony pozostałych przy życiu populacji [???].,Выживание восточного/горного бонго в дикой природе зависит от более эффективной защиты оставшихся в живых популяций [???].,Preživetje vzhodnega/gorskega bonga v naravi je odvisno od učinkovitejše zaščite preživelih preostalih populacij [???].,"Doğu/dağ bongosunun vahşi doğada hayatta kalması, hayatta kalan kalan popülasyonların [???] daha etkili korunmasına bağlıdır.","Виживання східного/гірського бонго в дикій природі залежить від ефективнішого захисту популяцій, що залишилися в живих [???]."
"Дзякуючы кіраванню ўсімі чатырма папуляцыямі як адной -- праз стратэгічныя перадачы, страта генаў зніжаецца з 8% за дзесяцігоддзе да 2% за дзесяцігоддзе, без павелічэння колькасці бонга [???].","Чрез управление на всичките четири популации като едно -- чрез стратегически трансфери, загубата на гени се намалява от 8% на десетилетие до 2% на десетилетие, без никакво увеличение на броя на бонго [???].","En gestionar les quatre poblacions com una, mitjançant transferències estratègiques, la pèrdua de gens es redueix del 8% per dècada al 2% per dècada, sense cap augment del nombre de bongos [???].","Řízením všech čtyř populací jako jedné – prostřednictvím strategických transferů se ztráta genů sníží z 8 % za dekádu na 2 % za dekádu, aniž by došlo ke zvýšení počtu bongo [???].","By managing all four populations as one -- through strategic transfers, gene-loss is reduced from 8% per decade to 2% per decade, without any increase in bongo numbers [???].","Al administrar las cuatro poblaciones como una sola, a través de transferencias estratégicas, la pérdida de genes se reduce del 8 % por década al 2 % por década, sin ningún aumento en el número de bongos [???].","Zarządzając wszystkimi czterema populacjami jako jedną – poprzez strategiczne transfery, zmniejsza się utratę genów z 8% na dekadę do 2% na dekadę, bez żadnego wzrostu liczby bongo [???].",Благодаря управлению всеми четырьмя популяциями как единой посредством стратегического переноса потеря генов снижается с 8% за десятилетие до 2% за десятилетие без какого-либо увеличения числа бонго [???].,"Z upravljanjem vseh štirih populacij kot enega -- s strateškimi prenosi se izguba genov zmanjša z 8 % na desetletje na 2 % na desetletje, brez povečanja števila bongo [???].","Stratejik transferler yoluyla dört popülasyonun hepsini tek olarak yöneterek, gen kaybı on yılda %8'den on yılda %2'ye düşürülür ve bongo sayısında herhangi bir artış olmaz [???].","Завдяки керуванню всіма чотирма популяціями як одній -- через стратегічні переміщення, втрата генів зменшується з 8% на десятиліття до 2% на десятиліття, без будь-якого збільшення чисельності бонго [???]."
"Калі папуляцыям [???] дазволіць расці праз рэалізацыю эфектыўнага захавання, уключаючы стратэгічныя перадачы, страту генаў у гэтага віду можна эфектыўна спыніць і яго будучыню ў дзікай прыродзе забяспечыць.","Ако се позволи на популациите [???] да растат чрез прилагане на ефективно опазване, включително стратегически трансфери, загубата на гени може ефективно да бъде спряна при този вид и бъдещето му да бъде осигурено в дивата природа.","Si es permet que les poblacions [???] creixin mitjançant la implementació d'una conservació efectiva, incloses les transferències estratègiques, la pèrdua de gens es pot aturar de manera efectiva en aquesta espècie i el seu futur assegurat a la natura.","Pokud je umožněno populacím [???] růst prostřednictvím implementace účinné ochrany, včetně strategických transferů, lze u tohoto druhu účinně zastavit ztrátu genů a zajistit jeho budoucnost ve volné přírodě.","If populations [???] are allowed to grow through the implementation of effective conservation, including strategic transfers, gene-loss can effectively be halted in this species and its future secured in the wild.","Si se permite que las poblaciones [???] crezcan a través de la implementación de una conservación efectiva, incluidas las transferencias estratégicas, la pérdida de genes puede detenerse de manera efectiva en esta especie y asegurar su futuro en la naturaleza.","Jeśli pozwoli się populacjom [???] rosnąć poprzez wdrożenie skutecznej ochrony, w tym transferów strategicznych, można skutecznie zatrzymać utratę genów tego gatunku i zabezpieczyć jego przyszłość na wolności.","Если позволить популяциям [???] расти за счет эффективного сохранения, включая стратегическую передачу, потеря генов у этого вида может быть эффективно остановлена, а его будущее в дикой природе обеспечено.","Če se populacijam [???] omogoči rast z izvajanjem učinkovitega ohranjanja, vključno s strateškimi prenosi, je mogoče izgubo genov pri tej vrsti učinkovito ustaviti in ji zagotoviti prihodnost v naravi.","Stratejik transferler de dahil olmak üzere etkili korumanın uygulanması yoluyla popülasyonların [???] büyümesine izin verilirse, bu türde gen kaybı etkili bir şekilde durdurulabilir ve vahşi doğada geleceği güvence altına alınabilir.","Якщо дозволити популяціям [???] зростати шляхом реалізації ефективного збереження, включаючи стратегічні переміщення, втрату генів у цьому виді можна ефективно зупинити, а його майбутнє у природі забезпечено."
"Яны карыстаюцца такім жа міфічным статусам [???], што і феі і лепрыконы.",Те се радват на същия митичен статус [???] като феите и леприконите.,Gauden del mateix estatus mític [???] que les fades i els follets.,Mají stejný mýtický status [???] jako víly a skřítci.,They enjoy the same mythical status [???] as fairies and leprechauns.,Gozan del mismo estatus mítico [???] que las hadas y los duendes.,Cieszą się tym samym mitycznym statusem [???] co wróżki i krasnoludki.,"Они пользуются тем же мифическим статусом [???], что и феи и лепреконы.",Uživajo enak mitski status [???] kot vile in škrati.,Periler ve cüce cinlerle aynı efsanevi statüye [???] sahiptirler.,"Вони користуються таким же міфічним статусом [???], що й феї та лепрекони."
"Налічваецца каля 15 000 відаў кветкавых раслін з 3 000 відаў дрэў (267 відаў з'яўляюцца двухкрылымі), 221 від наземных млекакормячых і 420 відаў аселых птушак [???].","Има около 15 000 вида цъфтящи растения с 3000 вида дървета (267 вида са диптерокарпи), 221 вида сухоземни бозайници и 420 вида местни птици [???].","Hi ha unes 15.000 espècies de plantes amb flors amb 3.000 espècies d'arbres (267 espècies són dipterocarps), 221 espècies de mamífers terrestres i 420 espècies d'ocells residents [???].","Existuje asi 15 000 druhů kvetoucích rostlin s 3 000 druhy stromů (267 druhů jsou dipterokarpy), 221 druhů suchozemských savců a 420 druhů ptáků [???].","There are about 15,000 species of flowering plants with 3,000 species of trees( 267 species are dipterocarps), 221 species of terrestrial mammals and 420 species of resident birds [???].","Hay alrededor de 15.000 especies de plantas con flores con 3.000 especies de árboles (267 especies son dipterocarpos), 221 especies de mamíferos terrestres y 420 especies de aves residentes [???].","Istnieje około 15 000 gatunków roślin kwiatowych z 3000 gatunków drzew (267 gatunków to muchówki), 221 gatunków ssaków lądowych i 420 gatunków ptaków osiadłych [???].","Существует около 15 000 видов цветковых растений, 3 000 видов деревьев (267 видов диптерокарпов), 221 вид наземных млекопитающих и 420 видов оседлых птиц [???].","Obstaja približno 15.000 vrst cvetočih rastlin s 3.000 vrstami dreves (267 vrst je dipterokarpov), 221 vrst kopenskih sesalcev in 420 vrst stalnih ptic [???].","Yaklaşık 15.000 çiçekli bitki türü, 3.000 ağaç türü (267 tür dipterokarptır), 221 karasal memeli türü ve 420 yerleşik kuş türü vardır [???].","Існує близько 15 000 видів квіткових рослин з 3 000 видів дерев (267 видів є двокрилими), 221 вид наземних ссавців і 420 видів осілих птахів [???]."
"Раннія сляды цэглы былі знойдзены на руінах [???] у 2009 годзе, якія датуюцца каля 3800 гадоў таму.","Ранни следи от тухли бяха открити в руини [???] през 2009 г., датирани от преди около 3800 години.",Els primers rastres de maons es van trobar en un jaciment de ruïnes [???] l'any 2009 que es remuntaven fa uns 3800 anys.,"Rané stopy cihel byly nalezeny na místě ruin [???] v roce 2009, datované asi před 3800 lety.",Early traces of bricks were found in a ruin site [???] in 2009 dated back about 3800 years ago.,Se encontraron rastros tempranos de ladrillos en un sitio de ruinas [???] en 2009 que datan de hace unos 3800 años.,Wczesne ślady cegieł znaleziono w ruinach [???] w 2009 roku sprzed ok. 3800 lat.,"Первые следы кирпичей были найдены на месте руин [???] в 2009 году, возраст которых около 3800 лет.",Zgodnje sledi opek so bile najdene na ruševinah [???] leta 2009 izpred približno 3800 let.,"2009 yılında, yaklaşık 3800 yıl öncesine dayanan bir harabe alanında [???] erken tuğla izleri bulundu.","Ранні сліди цегли були знайдені на місці руїн [???] у 2009 році, які датуються приблизно 3800 роками тому."
"Гэта вельмі часта [???], асабліва ў дамах, пабудаваных або адрамантаваных у 70-я гады.","Това е много често [???], особено в къщи, построени или реновирани през 70-те години.","És molt comú [???], sobretot a les cases construïdes o reformades als anys 70.","Je to velmi běžné [???], zejména v domech postavených nebo renovovaných v 70. letech.","It is very common [???], especially in houses built or renovated in the' 70s.","Es muy común [???], sobre todo en casas construidas o reformadas en los años '70.","Jest to bardzo powszechne [???], szczególnie w domach budowanych lub remontowanych w latach 70-tych.","Это очень распространено [???], особенно в домах, построенных или отремонтированных в 70-х годах.","Je zelo pogost [???], še posebej v hišah, zgrajenih ali prenovljenih v 70-ih.",Özellikle 70'lerde inşa edilmiş veya yenilenmiş evlerde çok yaygındır [???].,"Це дуже поширене [???], особливо в будинках, побудованих або відремонтованих у 70-х роках."
Яго антыфашысцкія погляды выклікалі ў яго шмат непрыемнасцяў з істэблішментам [???].,Неговите антифашистки възгледи му създават много неприятности с истаблишмънта [???].,Les seves opinions antifeixistes li van causar molts problemes amb l'establishment [???].,Jeho antifašistické názory mu způsobily velké potíže s establishmentem [???].,His anti-facist views caused him a great deal of trouble with the establishment [???].,Sus puntos de vista antifascistas le causaron muchos problemas con el establecimiento [???].,Jego antyfaszystowskie poglądy przysporzyły mu wielu kłopotów z establishmentem [???].,Его антифашистские взгляды причиняли ему большие неприятности с истеблишментом [???].,Njegova protifašistična stališča so mu povzročila veliko težav pri establišmentu [???].,"Anti-faşist görüşleri, düzen ile [???] büyük bir sorun yaşamasına neden oldu.",Його антифашистські погляди викликали у нього багато проблем із істеблішментом [???].
"Яго імем названы блюз-бар [???], у якім рэгулярна выступаюць блюзавыя музыкі і групы.",Блус бар [???] е кръстен на него и редовно включва блус музиканти и групи.,"Un bar de blues [???] porta el seu nom, i acull regularment músics i bandes de blues.","Je po něm pojmenován bluesový bar [???], kde pravidelně vystupují bluesoví hudebníci a kapely.","A blues bar [???] is named after him, and regularly features blues musicians and bands.",Un bar de blues [???] lleva su nombre y presenta regularmente músicos y bandas de blues.,"Jego imieniem nazwano bar bluesowy [???], w którym regularnie występują muzycy i zespoły bluesowe.","Блюз-бар [???] назван в его честь, и в нем регулярно выступают блюзовые музыканты и группы.","Po njem je poimenovan blues bar [???], v katerem redno nastopajo blues glasbeniki in skupine.",Onun adını taşıyan bir blues bar [???] düzenli olarak blues müzisyenleri ve gruplarına ev sahipliği yapar.,"На його честь названо блюз-бар [???], у якому регулярно виступають блюзові музиканти та групи."
"Практыка БДСМ звычайна не караецца [???], калі яна праводзіцца з узаемнай згоды задзейнічаных партнёраў.","Практикуването на BDSM обикновено не се наказва [???], ако се провежда с взаимното съгласие на участващите партньори.",La pràctica del BDSM no es penalitza generalment [???] si es realitza amb el consentiment mutu dels socis implicats.,"Praxe BDSM není obecně penalizována [???], pokud je vedena se vzájemným souhlasem zúčastněných partnerů.",The practice of BDSM is not generally penalized [???] if it is conducted with the mutual consent of the partners involved.,La práctica de BDSM generalmente no está penalizada [???] si se lleva a cabo con el consentimiento mutuo de los socios involucrados.,"Praktyka BDSM nie jest generalnie karana [???], jeśli odbywa się za obopólną zgodą zaangażowanych partnerów.","Практика БДСМ обычно не наказывается [???], если она проводится с обоюдного согласия вовлеченных партнеров.","Praksa BDSM na splošno ni kaznovana [???], če se izvaja z medsebojnim soglasjem vpletenih partnerjev.","BDSM uygulaması, ilgili ortakların karşılıklı rızasıyla yapılırsa genellikle cezalandırılmaz [???].","Практика БДСМ зазвичай не карається [???], якщо вона проводиться за взаємною згодою залучених партнерів."
"Узрост згоды [???] складае 16 гадоў, што таксама распаўсюджваецца на BDSM гульні.","Възрастта за съгласие [???] е 16 години, което важи и за BDSM игра.","L'edat de consentiment [???] és de 16 anys, que també s'aplica al joc BDSM.","Věk souhlasu [???] je 16 let, což platí i pro hru BDSM.","The age of consent [???] is 16 years, which also applies for BDSM play.","La edad de consentimiento [???] es de 16 años, que también se aplica al juego BDSM.","Wiek przyzwolenia [???] to 16 lat, co dotyczy również zabaw BDSM.","Возраст согласия [???] составляет 16 лет, что также относится к БДСМ-играм.","Starost za privolitev [???] je 16 let, kar velja tudi za igranje BDSM.","Rıza yaşı [???] 16'dır, bu BDSM oyunu için de geçerlidir.","Вік згоди [???] становить 16 років, що також стосується ігор у БДСМ."
"Тым не менш, ён здзівіўся інтэлектуальнаму багаццю [???], якое, па яго словах, было ""напоўнена вучонымі і адпаведнымі людзьмі"".","Въпреки това той се възхити на интелектуалното изобилие [???], което според него е „изпълнено с учени и съвпадащи мъже“.","No obstant això, es va meravellar de l'abundància intel·lectual [???], que va afirmar que estava ""plena d'homes erudits i igualats"".","Přesto žasl nad intelektuální hojností [???], o níž prohlásil, že je „plná učených a vyrovnaných mužů.","Nevertheless, he marvelled at the intellectual abundance [???], which he stated was"" filled with learned and matched men.","Sin embargo, se maravilló de la abundancia intelectual [???], que dijo estaba ""llena de hombres eruditos y acertados"".","Niemniej jednak podziwiał obfitość intelektualną [???], która, jak stwierdził, była „wypełniona uczonymi i dopasowanymi ludźmi”.","Тем не менее, он восхищался интеллектуальным изобилием [???], которое, по его словам, было «заполнено учеными и подобранными людьми».","Kljub temu se je čudil nad intelektualnim obiljem [???], za katerega je rekel, da je ""polno izobraženih in primernih moških"".","Yine de, ""bilgili ve uyumlu adamlarla dolu"" olduğunu belirttiği entelektüel bolluğa [???] hayran kaldı.","Тим не менш, він дивувався інтелектуальному багатству [???], яке, за його словами, було «наповнене вченими та відповідними людьми»."
"Усяго 7 станцый маніторынгу якасці паветра [???], якія вымяраюць узровень дыяксіду серы, аксідаў азоту, фармальдэгіду і аміяку.","Общо има 7 станции за мониторинг на качеството на въздуха [???], измерващи нивата на серен диоксид, азотни оксиди, формалдехид и амоняк.","En total, hi ha 7 estacions de control de la qualitat de l'aire [???], que mesuren els nivells de diòxid de sofre, òxids de nitrogen, formaldehid i amoníac.","Celkem je zde 7 monitorovacích stanic kvality ovzduší [???], které měří hladiny oxidu siřičitého, oxidů dusíku, formaldehydu a čpavku.","In total, there are 7 air quality monitoring stations [???], measuring levels of sulfur dioxide, nitrogen oxides, formaldehyde, and ammonia.","En total, hay 7 estaciones de monitoreo de la calidad del aire [???], que miden los niveles de dióxido de azufre, óxidos de nitrógeno, formaldehído y amoníaco.","Łącznie działa 7 stacji monitoringu jakości powietrza [???], mierzących poziom dwutlenku siarki, tlenków azotu, formaldehydu i amoniaku.","Всего имеется 7 станций мониторинга качества воздуха [???], измеряющих уровни диоксида серы, оксидов азота, формальдегида и аммиака.","Skupaj je 7 postaj za spremljanje kakovosti zraka [???], ki merijo vsebnost žveplovega dioksida, dušikovih oksidov, formaldehida in amoniaka.","Toplamda, kükürt dioksit, azot oksitler, formaldehit ve amonyak seviyelerini ölçen 7 hava kalitesi izleme istasyonu [???] vardır.","Загалом у атмосфері працює 7 станцій моніторингу якості повітря [???], на яких вимірюють вміст діоксиду сірки, оксидів азоту, формальдегіду та аміаку."
