en,ru,pl,be,uk,bg,sl,cs,ca,es,tr
I love [???].,Я люблю [???].,Kocham [???].,Я кахаю [???].,Я люблю [???].,Обичам [???].,Ljubim [???].,Miluji [???].,Estimo [???].,Amo [???].,Seviyorum [???].
"[???] is rich in building and decorative stone, copper and lead ores, gold, and semiprecious stones.","[???] богат строительным и декоративным камнем, медными и свинцовыми рудами, золотом, полудрагоценными камнями.","[???] obfituje w kamień budowlany i ozdobny, rudy miedzi i ołowiu, złoto i kamienie półszlachetne.","[???] багаты будаўнічым і дэкаратыўным каменнем, меднымі і свінцовымі рудамі, золатам, напаўкаштоўнымі камянямі.","[???] багата будівельним і декоративним камінням, мідними і свинцевими рудами, золотом, напівдорогоцінним камінням.","[???] е богат на строителни и декоративни камъни, медни и оловни руди, злато и полускъпоценни камъни.","[???] je bogata z gradbenim in okrasnim kamnom, bakrovimi in svinčevimi rudami, zlatom in poldragimi kamni.","[???] je bohatá na stavební a dekorativní kámen, měděné a olověné rudy, zlato a polodrahokamy.","[???] és ric en pedra de construcció i decorativa, minerals de coure i plom, or i pedres semiprecioses.","[???] es rico en piedra decorativa y de construcción, minerales de cobre y plomo, oro y piedras semipreciosas.","[???] yapı ve dekoratif taş, bakır ve kurşun cevherleri, altın ve yarı değerli taşlar açısından zengindir."
"For example, [???] has more than 700 islands surrounding its mainland.","Например, [???] имеет более 700 островов, окружающих его материк.",Na przykład [???] ma ponad 700 wysp otaczających jego kontynent.,"Напрыклад, [???] мае больш за 700 астравоў, якія атачаюць мацярык.","Наприклад, [???] має понад 700 островів, що оточують його материк.","Например, [???] има повече от 700 острова около континента.","Na primer, [???] ima več kot 700 otokov, ki obkrožajo njeno celino.",Například [???] má kolem své pevniny více než 700 ostrovů.,"Per exemple, [???] té més de 700 illes al voltant del seu continent.","Por ejemplo, [???] tiene más de 700 islas que rodean su continente.","Örneğin, [???] anakarasını çevreleyen 700'den fazla adaya sahiptir."
"The largest archipelago in the world, by size, is [???].",Самый большой архипелаг в мире по размеру [???].,Największy pod względem wielkości archipelag na świecie to [???].,Самы вялікі архіпелаг у свеце па памеры [???].,Найбільший архіпелаг у світі за розміром [???].,Най-големият архипелаг в света по размер е [???].,Največji arhipelag na svetu je po velikosti [???].,"Největší souostroví na světě, podle velikosti, je [???].","L'arxipèlag més gran del món, per mida, és [???].","El archipiélago más grande del mundo, por tamaño, es [???].",Büyüklüğüne göre dünyanın en büyük takımadası [???].
[???] is famous for its many exclusive luxury resorts.,[???] славится множеством эксклюзивных роскошных курортов.,[???] słynie z wielu ekskluzywnych luksusowych kurortów.,[???] славіцца мноствам эксклюзіўных раскошных курортаў.,[???] славиться багатьма ексклюзивними розкішними курортами.,[???] е известен с многото си изключителни луксозни курорти.,[???] slovi po številnih ekskluzivnih luksuznih letoviščih.,[???] je známý svými mnoha exkluzivními luxusními resorty.,[???] és famós pels seus nombrosos complexos de luxe exclusius.,[???] es famoso por sus muchos resorts de lujo exclusivos.,[???] birçok özel lüks tatil yeri ile ünlüdür.
[???] does have a national football team but it is inexperienced.,"[???] есть национальная футбольная команда, но она неопытна.","[???] ma narodową drużynę piłkarską, ale jest niedoświadczona.","[???] ёсць нацыянальная футбольная зборная, але яна малавопытная.","[???] є національна футбольна команда, але вона недосвідчена.","[???] има национален отбор по футбол, но е без опит.","[???] ima nacionalno nogometno reprezentanco, a je neizkušena.","[???] má národní fotbalový tým, ale je nezkušený.",[???] té una selecció de futbol però no té experiència.,[???] tiene una selección nacional de fútbol pero no tiene experiencia.,[???] bir milli futbol takımına sahip ama deneyimsiz.
[???] is served by commuter rail that connects the city itself with neighbouring towns.,"[???] обслуживается пригородной железной дорогой, которая соединяет сам город с соседними городами.","[???] jest obsługiwany przez kolej podmiejską, która łączy samo miasto z sąsiednimi miejscowościami.","[???] абслугоўваецца прыгараднай чыгункай, якая злучае сам горад з суседнімі гарадамі.","[???] обслуговується приміською залізницею, яка з'єднує саме місто з сусідніми містами.","[???] се обслужва от градска железница, която свързва самия град със съседните градове.","[???] ima primestna železnica, ki povezuje samo mesto s sosednjimi mesti.","[???] je obsluhována příměstskou železnicí, která spojuje samotné město se sousedními městy.",[???] és servit per ferrocarril de rodalies que connecta la mateixa ciutat amb els pobles veïns.,[???] cuenta con el servicio de trenes de cercanías que conectan la ciudad con los pueblos vecinos.,"[???], şehri komşu kasabalara bağlayan banliyö demiryolu ile hizmet vermektedir."
The finding of six runestones in and around [???] indicates the city had some significance around year 1000 as only wealthy nobles traditionally used them.,"Находка шести рунических камней в [???] и вокруг него указывает на то, что город имел определенное значение около 1000 года, поскольку традиционно их использовали только богатые дворяне.","Znalezienie sześciu kamieni runicznych w okolicach [???] wskazuje, że miasto miało pewne znaczenie około roku 1000, ponieważ tradycyjnie używali ich tylko zamożni szlachcice.","Знаходка шасці рунічных камянёў у [???] і яго ваколіцах сведчыць аб тым, што горад меў пэўнае значэнне каля 1000 года, паколькі імі традыцыйна карысталіся толькі багатыя дваране.","Знахідка шести рунічних каменів у [???] і навколо нього вказує на те, що місто мало певне значення близько 1000 року, оскільки традиційно ними користувалися лише заможні дворяни.","Намирането на шест рунически камъка в и около [???] показва, че градът е имал известно значение около 1000 г., тъй като само богатите благородници традиционно са ги използвали.","Najdba šestih runskih kamnov v in okoli [???] kaže, da je imelo mesto nekaj pomena okoli leta 1000, saj so jih tradicionalno uporabljali le premožni plemiči.","Nález šesti runových kamenů v okolí [???] naznačuje, že město mělo nějaký význam kolem roku 1000, protože je tradičně používali pouze bohatí šlechtici.","La troballa de sis pedres rúniques a [???] i als voltants indica que la ciutat va tenir certa importància al voltant de l'any 1000, ja que només els nobles rics les utilitzaven tradicionalment.","El hallazgo de seis piedras rúnicas en y alrededor de [???] indica que la ciudad tenía cierta importancia alrededor del año 1000, ya que solo los nobles ricos las usaban tradicionalmente.","[???] ve çevresinde altı rune taşının bulunması, geleneksel olarak yalnızca varlıklı soyluların kullandığı için şehrin 1000 yılı civarında bir önemi olduğunu gösteriyor."
[???] is divided into several districts and suburbs with its own postal code.,[???] разделен на несколько районов и пригородов со своим почтовым индексом.,[???] jest podzielony na kilka dzielnic i przedmieść z własnym kodem pocztowym.,[???] падзелены на некалькі раёнаў і прыгарадаў са сваім паштовым індэксам.,[???] розділений на кілька районів і передмістя з власним поштовим індексом.,[???] е разделен на няколко района и предградия със собствен пощенски код.,[???] je razdeljen na več okrožij in predmestij s svojo poštno številko.,[???] se dělí na několik okresů a předměstí s vlastním PSČ.,[???] es divideix en diversos districtes i suburbis amb el seu propi codi postal.,[???] se divide en varios distritos y suburbios con su propio código postal.,"[???], kendi posta koduna sahip birkaç ilçeye ve banliyöye bölünmüştür."
"[???] has been growing at a steady rate of about 1% per year since 1950, when the city had about 150,000 inhabitants.","[???] стабильно растет примерно на 1% в год с 1950 года, когда в городе проживало около 150 000 жителей.","[???] rośnie w stałym tempie około 1% rocznie od 1950 roku, kiedy to miasto liczyło około 150 000 mieszkańców.","[???] расце са стабільнай хуткасцю каля 1% у год з 1950 года, калі ў горадзе было каля 150 000 жыхароў.","[???] зростає зі стабільною швидкістю близько 1% на рік з 1950 року, коли місто налічувало близько 150 000 жителів.","[???] расте с постоянен темп от около 1% годишно от 1950 г., когато градът има около 150 000 жители.","[???] od leta 1950, ko je imelo mesto približno 150.000 prebivalcev, narašča z enakomerno stopnjo približno 1% na leto.","[???] od roku 1950, kdy mělo město asi 150 000 obyvatel, roste stabilním tempem asi 1 % ročně.","[???] ha anat creixent a un ritme constant d'aproximadament un 1% anual des de 1950, quan la ciutat tenia uns 150.000 habitants.","[???] ha estado creciendo a un ritmo constante de alrededor del 1% anual desde 1950, cuando la ciudad tenía unos 150.000 habitantes.","[???], şehrin yaklaşık 150.000 nüfusa sahip olduğu 1950'den beri yılda yaklaşık %1'lik sabit bir oranda büyüyor."
[???] has concluded 21 production-sharing agreements with various oil companies.,[???] заключил 21 соглашение о разделе продукции с различными нефтяными компаниями.,[???] zawarł 21 umów o podziale produkcji z różnymi firmami naftowymi.,[???] заключыла 21 пагадненне аб падзеле прадукцыі з рознымі нафтавымі кампаніямі.,[???] уклав 21 угоду про розподіл продукції з різними нафтовими компаніями.,[???] е сключил 21 споразумения за споделяне на продукцията с различни петролни компании.,[???] je sklenil 21 sporazumov o delitvi proizvodnje z različnimi naftnimi družbami.,[???] uzavřel 21 dohod o sdílení produkce s různými ropnými společnostmi.,[???] ha conclòs 21 acords de producció compartida amb diverses companyies petrolieres.,[???] ha concluido 21 acuerdos de producción compartida con varias compañías petroleras.,"[???], çeşitli petrol şirketleriyle 21 üretim paylaşımı anlaşması imzaladı."
"[???] has begun making progress on economic reform, and old economic ties and structures are slowly being replaced.","[???] начал продвигать экономическую реформу, и старые экономические связи и структуры постепенно заменяются.","[???] zaczął czynić postępy w zakresie reform gospodarczych, a stare powiązania i struktury gospodarcze są powoli zastępowane.","[???] пачаў прагрэс у эканамічных рэформах, і старыя эканамічныя сувязі і структуры павольна замяняюцца.","[???] почав прогресувати в економічних реформах, і старі економічні зв'язки та структури повільно замінюються.",[???] започна да напредва в икономическата реформа и старите икономически връзки и структури бавно се заменят.,"[???] je začel napredovati pri gospodarski reformi, stare gospodarske vezi in strukture pa se počasi zamenjujejo.",[???] začal dělat pokroky v ekonomické reformě a staré ekonomické vazby a struktury jsou pomalu nahrazovány.,[???] ha començat a avançar en la reforma econòmica i els antics llaços i estructures econòmiques s'estan substituint lentament.,"[???] ha comenzado a progresar en la reforma económica, y los viejos lazos y estructuras económicas están siendo reemplazados lentamente.",[???] ekonomik reform konusunda ilerleme kaydetmeye başladı ve eski ekonomik bağlar ve yapılar yavaş yavaş değiştiriliyor.
[???] faces serious environmental challenges.,[???] сталкивается с серьезными экологическими проблемами.,[???] stoi przed poważnymi wyzwaniami środowiskowymi.,[???] сутыкаецца з сур'ёзнымі экалагічнымі праблемамі.,[???] стикається з серйозними екологічними проблемами.,[???] е изправен пред сериозни екологични предизвикателства.,[???] se sooča z resnimi okoljskimi izzivi.,[???] čelí vážným environmentálním problémům.,[???] s'enfronta a greus reptes ambientals.,[???] enfrenta serios desafíos ambientales.,[???] ciddi çevresel zorluklarla karşı karşıya.
"Today, [???] is a major arms supplier to the country.",Сегодня [???] является крупным поставщиком оружия в страну.,Dziś [???] jest głównym dostawcą broni do kraju.,Сёння [???] з'яўляецца буйным пастаўшчыком зброі ў краіну.,Сьогодні [???] є основним постачальником зброї в країну.,Днес [???] е основен доставчик на оръжие за страната.,Danes je [???] glavni dobavitelj orožja v državo.,Dnes je [???] hlavním dodavatelem zbraní do země.,"Avui, [???] és un important proveïdor d'armes al país.","Hoy, [???] es un importante proveedor de armas para el país.","Bugün, [???] ülkenin önemli bir silah tedarikçisidir."
In fact [???] is expected to resume its positive population growth by 2010.,"На самом деле ожидается, что [???] возобновит положительный прирост населения к 2010 году.","W rzeczywistości oczekuje się, że [???] wznowi dodatni wzrost populacji do 2010 r.","Фактычна [???] чакаецца, што да 2010 г. адновіць станоўчы прырост насельніцтва.","Насправді очікується, що [???] відновить позитивне зростання населення до 2010 року.",Всъщност [???] се очаква да възобнови положителния си прираст на населението до 2010 г.,"Pravzaprav [???] se pričakuje, da bo do leta 2010 ponovno dosegla pozitivno rast prebivalstva.","Ve skutečnosti se očekává, že [???] obnoví svůj pozitivní populační růst do roku 2010.","De fet, s'espera que [???] reprendrà el seu creixement demogràfic positiu el 2010.","De hecho, se espera que [???] reanude su crecimiento demográfico positivo para 2010.",Aslında [???]'nın pozitif nüfus artışına 2010 yılına kadar devam etmesi bekleniyor.
The capital and largest city is [???].,Столица и крупнейший город — [???].,Stolicą i największym miastem jest [???].,Сталіца і найбуйнейшы горад — [???].,Столицею і найбільшим містом є [???].,Столица и най-голям град е [???].,Glavno in največje mesto je [???].,Hlavním a největším městem je [???].,La capital i la ciutat més gran és [???].,La capital y ciudad más grande es [???].,Başkent ve en büyük şehir [???].
"Economic ties with [???] remain close, especially in the energy sector.","Экономические связи с [???] остаются тесными, особенно в энергетическом секторе.","Powiązania gospodarcze z [???] pozostają bliskie, zwłaszcza w sektorze energetycznym.","Эканамічныя сувязі з [???] застаюцца цеснымі, асабліва ў энергетычным сектары.","Економічні зв'язки з [???] залишаються тісними, особливо в енергетичному секторі.","Икономическите връзки с [???] остават тесни, особено в енергийния сектор.","Gospodarske vezi z [???] ostajajo tesne, zlasti v energetskem sektorju.","Ekonomické vazby s [???] zůstávají úzké, zejména v energetickém sektoru.","Els llaços econòmics amb [???] es mantenen estrets, especialment en el sector energètic.","Los lazos económicos con [???] siguen siendo estrechos, especialmente en el sector energético.","[???] ile ekonomik bağlar, özellikle enerji sektöründe yakın olmaya devam ediyor."
"In addition, the border with [???] is closed, making access to sea ports difficult and transportation logistics challenging to a country largely dependent upon imports.","Кроме того, граница с [???] закрыта, что затрудняет доступ к морским портам и затрудняет транспортную логистику для страны, в значительной степени зависящей от импорта.","Ponadto granica z [???] jest zamknięta, co utrudnia dostęp do portów morskich i utrudnia logistykę transportu dla kraju w dużej mierze uzależnionego od importu.","Акрамя таго, мяжа з [???] закрытая, што ўскладняе доступ да марскіх партоў і ўскладняе транспартную лагістыку для краіны, якая ў значнай ступені залежыць ад імпарту.","Крім того, кордон із [???] закрито, що ускладнює доступ до морських портів і ускладнює транспортну логістику для країни, яка значною мірою залежить від імпорту.","Освен това границата с [???] е затворена, което затруднява достъпа до морските пристанища и затруднява транспортната логистика за страна, до голяма степен зависима от вноса.","Poleg tega je meja z [???] zaprta, kar otežuje dostop do morskih pristanišč in otežuje transportno logistiko za državo, ki je v veliki meri odvisna od uvoza.","Hranice s [???] je navíc uzavřena, což ztěžuje přístup do námořních přístavů a ​​logistiku dopravy pro zemi, která je do značné míry závislá na dovozu.","A més, la frontera amb [???] està tancada, cosa que dificulta l'accés als ports marítims i dificulta la logística del transport per a un país que en gran mesura depèn de les importacions.","Además, la frontera con [???] está cerrada, lo que dificulta el acceso a los puertos marítimos y dificulta la logística de transporte para un país que depende en gran medida de las importaciones.","Ek olarak, [???] sınırının kapalı olması, deniz limanlarına erişimi zorlaştırıyor ve büyük ölçüde ithalata bağımlı bir ülke için ulaşım lojistiğini zorlaştırıyor."
[???] covers all study expenditures.,[???] покрывает все расходы на обучение.,[???] pokrywa wszystkie wydatki na studia.,[???] пакрывае ўсе выдаткі на навучанне.,[???] покриває всі витрати на навчання.,[???] покрива всички разходи за обучение.,[???] krije vse stroške študija.,[???] pokrývá veškeré výdaje na studium.,[???] cobreix totes les despeses d'estudi.,[???] cubre todos los gastos de estudio.,[???] tüm eğitim harcamalarını kapsar.
The [???] has been steadily upping its military clout in the region.,[???] неуклонно наращивает свое военное влияние в регионе.,[???] stale zwiększa swoją siłę militarną w regionie.,[???] няўхільна нарошчваў свой вайсковы ўплыў у рэгіёне.,[???] невпинно нарощував свій військовий вплив у регіоні.,[???] непрекъснато увеличава военното си влияние в региона.,[???] vztrajno krepi svojo vojaško moč v regiji.,[???] neustále zvyšuje svůj vojenský vliv v regionu.,El [???] ha augmentat constantment el seu poder militar a la regió.,El [???] ha estado aumentando constantemente su influencia militar en la región.,[???] bölgedeki askeri nüfuzunu istikrarlı bir şekilde artırıyor.
[???] has an estimated population of more than 1.28 million.,"[???] имеет население более 1,28 миллиона человек.","[???] ma szacunkową populację ponad 1,28 miliona.","[???] насельніцтва складае больш за 1,28 мільёна чалавек.","[???] має приблизно 1,28 мільйона населення.","[???] има приблизително население от повече от 1,28 милиона.","[???] ima ocenjeno prebivalstvo več kot 1,28 milijona.","[???] má odhadovanou populaci více než 1,28 milionu.","[???] té una població estimada de més d'1,28 milions.","[???] tiene una población estimada de más de 1,28 millones.","[???] tahmini nüfusu 1,28 milyondan fazladır."
"Today, [???] is noted for its many festivals and sporting events, its food, wine and culture, its long beachfronts, and its large defence and manufacturing sectors.","Сегодня [???] известен своими многочисленными фестивалями и спортивными мероприятиями, своей едой, вином и культурой, своими длинными пляжами, а также большими оборонными и производственными секторами.","Dziś [???] słynie z wielu festiwali i wydarzeń sportowych, jedzenia, wina i kultury, długich plaż oraz dużych sektorów obronnych i produkcyjnych.","Сёння [???] вядомы шматлікімі фестывалямі і спартыўнымі мерапрыемствамі, ежай, віном і культурай, доўгімі пляжамі, а таксама вялікім абаронным і вытворчым сектарамі.","Сьогодні [???] відомий своїми численними фестивалями та спортивними подіями, своєю їжею, вином і культурою, своїми довгими пляжами, а також великим оборонним і виробничим секторами.","Днес [???] е известен с многото си фестивали и спортни събития, храната, виното и културата, дългите си плажове и големите си отбранителни и производствени сектори.","Danes je [???] znan po številnih festivalih in športnih dogodkih, hrani, vinu in kulturi, dolgih obalah ter velikem obrambnem in proizvodnem sektorju.","Dnes je [???] známý svými mnoha festivaly a sportovními událostmi, jídlem, vínem a kulturou, dlouhými plážemi a velkými obrannými a výrobními sektory.","Avui dia, [???] destaca pels seus nombrosos festivals i esdeveniments esportius, la seva gastronomia, el seu vi i la seva cultura, els seus llargs fronts de platja i els seus grans sectors de defensa i fabricació.","Hoy, [???] se destaca por sus numerosos festivales y eventos deportivos, su comida, vino y cultura, sus largas costas y sus grandes sectores de defensa y manufactura.","Bugün [???] birçok festivali ve spor etkinliği, yemeği, şarabı ve kültürü, uzun sahilleri ve geniş savunma ve imalat sektörleriyle dikkat çekiyor."
"[???] has the lowest number of children( under-15 year olds), which composed 17.8% of the population, compared to the national average of 19.8%.","[???] имеет наименьшее количество детей (до 15 лет), которые составляют 17,8% населения по сравнению со средним показателем по стране 19,8%.","[???] ma najmniejszą liczbę dzieci (do lat 15), które stanowiły 17,8% ludności, przy średniej krajowej wynoszącej 19,8%.","[???] мае найменшую колькасць дзяцей (ва ўзросце да 15 гадоў), якія складаюць 17,8% насельніцтва, у параўнанні з сярэднім па краіне 19,8%.","[???] має найменшу кількість дітей (до 15 років), які становили 17,8% населення, порівняно з середнім показником по країні 19,8%.","[???] има най-малък брой деца (до 15 години), които съставляват 17,8% от населението при средно 19,8% за страната.","[???] ima najmanj otrok (mlajših od 15 let), ki so predstavljali 17,8 % prebivalcev, v Sloveniji pa povprečje 19,8 %.","[???] má nejnižší počet dětí (do 15 let), které tvoří 17,8 % populace, ve srovnání s celostátním průměrem 19,8 %.","[???] té el nombre més baix de nens (menors de 15 anys), que composava el 17,8% de la població, en comparació amb la mitjana nacional del 19,8%.","[???] tiene el menor número de niños (menores de 15 años), que componen el 17,8% de la población, en comparación con el promedio nacional de 19,8%.","[???], %19,8'lik ulusal ortalamaya kıyasla, nüfusun %17,8'ini oluşturan en düşük çocuk sayısına (15 yaş altı) sahiptir."
[???] has developed a strong culture of attracting crowds to major sporting events.,[???] разработали сильную культуру привлечения толпы на крупные спортивные мероприятия.,[???] rozwinęła silną kulturę przyciągania tłumów na wielkie imprezy sportowe.,[???] развіў моцную культуру прыцягнення натоўпаў на буйныя спартыўныя мерапрыемствы.,[???] розвинув сильну культуру залучення натовпу на великі спортивні події.,[???] е развил силна култура за привличане на тълпи към големи спортни събития.,[???] je razvil močno kulturo privabljanja množic na velike športne dogodke.,[???] vyvinula silnou kulturu přitahování davů na velké sportovní události.,[???] ha desenvolupat una cultura forta per atraure multituds als esdeveniments esportius importants.,[???] ha desarrollado una fuerte cultura de atraer multitudes a los principales eventos deportivos.,"[???], kalabalıkları büyük spor etkinliklerine çekmek için güçlü bir kültür geliştirdi."
[???] has been continuously inhabited for at least 7000 years.,[???] был постоянно заселен в течение по крайней мере 7000 лет.,[???] jest zamieszkana nieprzerwanie od co najmniej 7000 lat.,[???] бесперапынна заселены як мінімум 7000 гадоў.,[???] безперервно заселений щонайменше 7000 років.,[???] е обитаван непрекъснато от поне 7000 години.,[???] je bilo neprekinjeno naseljeno vsaj 7000 let.,[???] byl nepřetržitě obydlen po dobu nejméně 7000 let.,[???] ha estat habitada contínuament durant almenys 7000 anys.,[???] ha estado habitado continuamente durante al menos 7000 años.,[???] en az 7000 yıldır sürekli olarak iskan edilmiştir.
[???] is built around a number of hills.,[???] построен вокруг ряда холмов.,[???] jest zbudowany wokół wielu wzgórz.,[???] пабудаваны вакол шэрагу пагоркаў.,[???] побудований навколо кількох пагорбів.,[???] е построен около редица хълмове.,[???] je zgrajen okoli številnih hribov.,[???] je postaven kolem řady kopců.,[???] està construït al voltant d'una sèrie de turons.,[???] está construido alrededor de una serie de colinas.,[???] bir dizi tepenin etrafına inşa edilmiştir.
"They are often to be found in the same areas, as [???] is not marked by a uniformity of architectural style.","Их часто можно встретить в одних и тех же районах, так как [???] не отличается единообразием архитектурного стиля.","Często można je znaleźć w tych samych obszarach, ponieważ [???] nie charakteryzuje się jednolitością stylu architektonicznego.","Іх часта можна сустрэць у адных і тых жа раёнах, бо [???] не адрозніваецца аднастайнасцю архітэктурнага стылю.","Їх часто можна знайти в одних і тих же районах, оскільки [???] не відзначається одноманітністю архітектурного стилю.","Те често се намират в едни и същи райони, тъй като [???] не се отличава с еднообразие на архитектурния стил.","Pogosto jih najdemo na istih območjih, saj [???] ne zaznamuje enotnost arhitekturnega sloga.","Často se nacházejí ve stejných oblastech, protože [???] se nevyznačuje jednotností architektonického stylu.","Sovint es troben a les mateixes zones, ja que [???] no està marcada per una uniformitat d'estil arquitectònic.","A menudo se encuentran en las mismas áreas, ya que [???] no está marcado por una uniformidad de estilo arquitectónico.","[???] mimari tarzın tekdüzeliği ile işaretlenmediğinden, genellikle aynı alanlarda bulunurlar."
"As a result, [???] has more than a dozen archaeological libraries and three specialized archaeological laboratories, and is the venue of several hundred specialized lectures, conferences and seminars, as well as dozens of archaeological exhibitions, per year.","В результате [???] имеет более десятка археологических библиотек и трех специализированных археологических лабораторий, а также является местом проведения нескольких сотен специализированных лекций, конференций и семинаров, а также десятков археологических выставок в год.","W efekcie [???] posiada kilkanaście bibliotek archeologicznych i trzy specjalistyczne laboratoria archeologiczne oraz jest miejscem kilkuset specjalistycznych wykładów, konferencji i seminariów rocznie oraz kilkudziesięciu wystaw archeologicznych.","У выніку [???] мае больш за дзясятак археалагічных бібліятэк і тры спецыялізаваныя археалагічныя лабараторыі, і з'яўляецца месцам правядзення некалькіх сотняў спецыялізаваных лекцый, канферэнцый і семінараў, а таксама дзесяткаў археалагічных выстаў у год.","У результаті [???] має понад десяток археологічних бібліотек і три спеціалізовані археологічні лабораторії, а також є місцем проведення кількох сотень спеціалізованих лекцій, конференцій і семінарів, а також десятків археологічних виставок на рік.","В резултат на това [???] разполага с повече от дузина археологически библиотеки и три специализирани археологически лаборатории и е място за провеждане на няколкостотин специализирани лекции, конференции и семинари, както и десетки археологически изложби годишно.","Posledično ima [???] več kot ducat arheoloških knjižnic in tri specializirane arheološke laboratorije ter je prizorišče več sto specializiranih predavanj, konferenc in seminarjev ter na desetine arheoloških razstav na leto.","Výsledkem je, že [???] má více než tucet archeologických knihoven a tři specializované archeologické laboratoře a je dějištěm několika stovek odborných přednášek, konferencí a seminářů, stejně jako desítek archeologických výstav ročně.","Com a resultat, [???] compta amb més d'una dotzena de biblioteques arqueològiques i tres laboratoris arqueològics especialitzats, i és la seu de diversos centenars de conferències, conferències i seminaris especialitzats, així com desenes d'exposicions arqueològiques, a l'any.","Como resultado, [???] cuenta con más de una docena de bibliotecas arqueológicas y tres laboratorios arqueológicos especializados, y es sede de varios cientos de charlas, congresos y seminarios especializados, así como de decenas de exhibiciones arqueológicas, por año.","Sonuç olarak, [???] bir düzineden fazla arkeoloji kütüphanesine ve üç özel arkeoloji laboratuvarına sahiptir ve yılda birkaç yüz özel ders, konferans ve seminerin yanı sıra düzinelerce arkeoloji sergisine ev sahipliği yapmaktadır."
"At any given time, [???] is the( temporary) home to hundreds of international scholars and researchers in all disciplines of archaeology.",В любое время [???] является (временным) домом для сотен международных ученых и исследователей во всех дисциплинах археологии.,W dowolnym momencie [???] jest (tymczasowym) domem dla setek międzynarodowych uczonych i badaczy we wszystkich dyscyplinach archeologii.,У любы час [???] з'яўляецца (часовым) домам для сотняў міжнародных навукоўцаў і даследчыкаў ва ўсіх дысцыплінах археалогіі.,У будь-який час [???] є (тимчасовим) домом для сотень міжнародних учених і дослідників у всіх дисциплінах археології.,Във всеки един момент [???] е (временен) дом на стотици международни учени и изследователи във всички дисциплини на археологията.,V danem trenutku je [???] (začasen) dom stotinam mednarodnih učenjakov in raziskovalcev v vseh disciplinah arheologije.,V každém okamžiku je [???] (dočasným) domovem stovek mezinárodních učenců a výzkumníků ve všech oborech archeologie.,"En un moment donat, [???] és la llar (temporal) de centenars d'estudiosos i investigadors internacionals en totes les disciplines de l'arqueologia.","En un momento dado, [???] es el hogar (temporal) de cientos de académicos e investigadores internacionales en todas las disciplinas de la arqueología.","Herhangi bir zamanda [???], arkeolojinin tüm disiplinlerinde yüzlerce uluslararası akademisyen ve araştırmacının (geçici) evidir."
[???] has been a popular destination for travelers since antiquity.,[???] был популярным местом для путешественников с древних времен.,[???] jest popularnym celem podróży od starożytności.,[???] быў папулярным месцам для падарожнікаў са старажытнасці.,[???] був популярним місцем для мандрівників з часів античності.,[???] е популярна дестинация за пътешественици от древността.,[???] je že od antike priljubljen cilj popotnikov.,[???] je oblíbeným cílem cestovatelů již od starověku.,[???] ha estat una destinació popular per als viatgers des de l'antiguitat.,[???] ha sido un destino popular para los viajeros desde la antigüedad.,[???] antik çağlardan beri gezginler için popüler bir destinasyon olmuştur.
"In addition to a large number of multiplexes, [???] plays host to a variety of romantic, open air garden cinemas.","В дополнение к большому количеству мультиплексов, в [???] есть множество романтических кинотеатров в саду под открытым небом.","Oprócz dużej liczby multipleksów, [???] gości wiele romantycznych, plenerowych kin ogrodowych.","У дадатак да вялікай колькасці мультыплексаў, [???] прымае мноства рамантычных кінатэатраў пад адкрытым небам.","На додаток до великої кількості мультиплексів, [???] приймає різноманітні романтичні кінотеатри під відкритим небом у саду.","В допълнение към голям брой мултиплекси, [???] е домакин на различни романтични градински кина на открито.",Poleg velikega števila multipleksov [???] gosti različne romantične vrtne kinematografe na prostem.,Kromě velkého počtu multiplexů je [???] hostitelem řady romantických zahradních kin pod širým nebem.,"A més d'un gran nombre de multiplexes, [???] acull una varietat de cinemes romàntics amb jardí a l'aire lliure.","Además de una gran cantidad de multicines, [???] alberga una variedad de románticos cines al aire libre en el jardín.","[???], çok sayıda multipleks salonun yanı sıra çeşitli romantik, açık hava bahçe sinemalarına da ev sahipliği yapıyor."
"Throughout its long history, [???] has experienced many different population levels.",На протяжении своей долгой истории [???] пережил множество различных уровней населения.,W swojej długiej historii [???] doświadczył wielu różnych poziomów populacji.,За сваю доўгую гісторыю [???] перажыў мноства розных узроўняў насельніцтва.,Протягом своєї довгої історії [???] переживав багато різних рівнів популяції.,През дългата си история [???] е преживял много различни нива на популация.,V svoji dolgi zgodovini je [???] doživel veliko različnih stopenj prebivalstva.,Během své dlouhé historie [???] zažil mnoho různých úrovní populace.,"Al llarg de la seva llarga història, [???] ha experimentat molts nivells de població diferents.","A lo largo de su larga historia, [???] ha experimentado muchos niveles de población diferentes.",[???] uzun tarihi boyunca birçok farklı nüfus düzeyi yaşamıştır.
[???] is twinned with:,[???] является побратимом с:,[???] jest miastem partnerskim z:,[???] з'яўляецца пабрацімам:,[???] є побратимом з:,[???] е близнак с:,[???] je pobrateno z:,[???] je spojený s:,[???] està agermanat amb:,[???] está hermanada con:,[???] şunlarla eşleştirilmiştir:
